No,제목,학과,과정,년도,href,BERT_SCORE
69,플로리다에서의 다사다난했던 4개월,신학과,학부,2020,/partner/expReport.asp?id=16607&page=1&bgbn=R,1
68,"The Sunshine State, Florida! 그리고 COVID-19",정보통계학과,학부,2020,/partner/expReport.asp?id=16582&page=1&bgbn=R,1
67,문화인류학과,문화인류학과,학부,2019,/partner/expReport.asp?id=16359&page=1&bgbn=R,0
66,USF에서의 아름다웠던 한 학기,경영학과,학부,2019-2,/partner/expReport.asp?id=16290&page=1&bgbn=R,1
65,플로리다에서의 한 학기,전기전자공학과,학부,2019,/partner/expReport.asp?id=16229&page=1&bgbn=R,1
64,USF 탬파에서의 한학기,경제학과,학부,2019,/partner/expReport.asp?id=16208&page=1&bgbn=R,1
63,USF에서의 한학기,화공생명공학과,학부,2019,/partner/expReport.asp?id=16203&page=1&bgbn=R,1
62,탬파에서의 한 학기,대기과학과,학부,2019,/partner/expReport.asp?id=16186&page=1&bgbn=R,1
61,탬파에서의 잊지못할 한학기,실내건축학과,학부,2016,/partner/expReport.asp?id=14950&page=1&bgbn=R,1
60,탬파에서의 한 학기,아동가족학,학부,2017-1,/partner/expReport.asp?id=14660&page=1&bgbn=R,1
59,탬파에서 보낸 특별한 여름,의류환경,학부,2016,/partner/expReport.asp?id=14322&page=2&bgbn=R,1
58,눈부시게 행복했던 플로리다,물리치료학과,학부,2017,/partner/expReport.asp?id=14313&page=2&bgbn=R,1
57,여유로웠던 플로리다,경영학과,학부,2017,/partner/expReport.asp?id=14291&page=2&bgbn=R,1
56,잊을 수 없는 한학기,스포츠레져학과,학부,2017,/partner/expReport.asp?id=14014&page=2&bgbn=R,0
55,USF에서의 값진 1년,행정학과,학부,2016-2017,/partner/expReport.asp?id=13962&page=2&bgbn=R,0
54,그리운 플로리다,경영학과,학부,2016,/partner/expReport.asp?id=13875&page=2&bgbn=R,1
53,행복했던 플로리다,의류환경학과,학부,2016,/partner/expReport.asp?id=13827&page=2&bgbn=R,1
52,"새로운 경험, USF.",신학과,학부,2016,/partner/expReport.asp?id=13808&page=2&bgbn=R,0
51,GO BULLS! USF!,생활디자인학과,학부,2016,/partner/expReport.asp?id=13783&page=2&bgbn=R,1
50,USF에서의 한학기,의공학부,학부,2016,/partner/expReport.asp?id=13312&page=2&bgbn=R,1
49,즐거웠던 USF,아동가족학과,학부,2016,/partner/expReport.asp?id=13129&page=3&bgbn=R,1
48,Sunshine State에서의 뜨거운 한학기,경영학과,학부,2016,/partner/expReport.asp?id=12952&page=3&bgbn=R,1
47,행복했던 한 한기,중어중문학과,학부,2016,/partner/expReport.asp?id=12905&page=3&bgbn=R,1
46,그리운 USF,심리학과,학부,2016,/partner/expReport.asp?id=12866&page=3&bgbn=R,1
45,USF,사회학과,학부,2015,/partner/expReport.asp?id=12649&page=3&bgbn=R,1
44,USF,경영학과,학부,2015,/partner/expReport.asp?id=12038&page=3&bgbn=R,1
43,USF!! BANG!!,수학과,학부,2015,/partner/expReport.asp?id=11955&page=3&bgbn=R,1
42,USF!,경영학과,학부,2014,/partner/expReport.asp?id=7353&page=3&bgbn=R,1
41,University of South Florida :),영어영문학과,학부,2014,/partner/expReport.asp?id=7320&page=3&bgbn=R,1
40,USF 사용 설명서,경영학과,학부,2014,/partner/expReport.asp?id=7307&page=3&bgbn=R,0
39,USF,전기전자공학과,학부,2014,/partner/expReport.asp?id=7104&page=4&bgbn=R,1
38,USF에서의 즐거웠던 한학기!,경영학과,학부,2014,/partner/expReport.asp?id=7061&page=4&bgbn=R,1
37,USF 에서의 한학기,영어영문학과,학부,2013,/partner/expReport.asp?id=6523&page=4&bgbn=R,1
36,아주 늦은 파견후기,경제학과,학부,2007,/partner/expReport.asp?id=5930&page=4&bgbn=R,1
35,플로리다에서 보낸 두 학기,경제학과,학부,2009-2010,/partner/expReport.asp?id=5147&page=4&bgbn=R,1
34,University of South Florida,사회학과,학부,2011,/partner/expReport.asp?id=4960&page=4&bgbn=R,1
33,USF의 한학기,컴퓨터과학과,학부,2011,/partner/expReport.asp?id=4957&page=4&bgbn=R,0
32,여유로운 플로리다에서의 1년,심리학과,학부,2010-2011,/partner/expReport.asp?id=4895&page=4&bgbn=R,1
31,플로리다의 여유로움,경영학과,학부,2010,/partner/expReport.asp?id=4832&page=4&bgbn=R,1
30,행복했던 그 곳 USF,화공생명공학과,학부,2010,/partner/expReport.asp?id=4777&page=4&bgbn=R,1
29,USF에서의 일 년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4254&page=5&bgbn=R,0
28,그리운 플로리다,경영학과,학부,2009,/partner/expReport.asp?id=4072&page=5&bgbn=R,1
27,좌충우돌 USF 생활기 :D,정치외교학과,학부,2009,/partner/expReport.asp?id=4036&page=5&bgbn=R,0
26,USF,경제학과,학부,2009,/partner/expReport.asp?id=4005&page=5&bgbn=R,1
25,"플로리다, 향수",중어중문학과,학부,2009,/partner/expReport.asp?id=3991&page=5&bgbn=R,1
24,광활하고 여유로운 플로리다에서의 한 학기,정치외교학과,학부,2008,/partner/expReport.asp?id=3929&page=5&bgbn=R,1
23,Welcome to TAMPA,전기전자공학과,학부,2009,/partner/expReport.asp?id=3918&page=5&bgbn=R,0
22,Sunshine state Florida,경제학과,학부,2009,/partner/expReport.asp?id=3620&page=5&bgbn=R,0
21,Sunshine USF,신문방송학과,학부,2008-2009,/partner/expReport.asp?id=3575&page=5&bgbn=R,0
20,Go Bulls!,기계공학과,학부,2008,/partner/expReport.asp?id=3425&page=5&bgbn=R,1
19,Sunshine state가 남겨준 추억,정치외교학과,학부,2008,/partner/expReport.asp?id=3418&page=6&bgbn=R,1
18,"그리운 그 곳, USF ♡",법학과,학부,2008,/partner/expReport.asp?id=3236&page=6&bgbn=R,1
17,Go USF Bulls!!,경영학과,학부,2007-2008,/partner/expReport.asp?id=3207&page=6&bgbn=R,1
16,플로리다가 여러분을 기다립니다,경영학과,학부,2008,/partner/expReport.asp?id=3192&page=6&bgbn=R,1
15,The priceless experiences,정보산업공학과,학부,2007,/partner/expReport.asp?id=3103&page=6&bgbn=R,1
14,My Sunshine State Story.,영어영문학과,학부,2007,/partner/expReport.asp?id=3048&page=6&bgbn=R,1
13,my USF story ♡,신문방송학과,학부,2006,/partner/expReport.asp?id=2901&page=6&bgbn=R,1
12,University of South Florida :),경영학과,학부,2006,/partner/expReport.asp?id=2047&page=6&bgbn=R,1
