No,제목,학과,과정,년도,href,BERT_SCORE
10,hendrix college 에서의 기록,문화인류학과,학부,2016-2017,/partner/expReport.asp?id=14031&page=1&bgbn=R,1
9,헨드릭스 대학 경험보고서,경영학과,학부,2012,/partner/expReport.asp?id=6070&page=1&bgbn=R,1
8,Hendrix College,영어영문학과,학부,2012,/partner/expReport.asp?id=6002&page=1&bgbn=R,0
7,가장 소중했던 시간들 - Hendrix College,영어영문학과,학부,2009-2010,/partner/expReport.asp?id=4233&page=1&bgbn=R,1
6,내 인생에 잊지못할 소중한 시간들.,생물학과,학부,2009,/partner/expReport.asp?id=3568&page=1&bgbn=R,1
5,잊지 못할 한 해를 돌아보며,경제학과,학부,2007-2008,/partner/expReport.asp?id=3066&page=1&bgbn=R,1
4,Hendrix에서의 1년,경제학과,학부,2006,/partner/expReport.asp?id=2357&page=1&bgbn=R,1
3,college that changed my life,경제학과,학부,2005-2006,/partner/expReport.asp?id=2019&page=1&bgbn=R,1
2,2003 Hendrix College 경험보고서,영어영문학전공,학부,2003,/partner/expReport.asp?id=1104&page=1&bgbn=R,1
1,Hendrix College - 황소영,정치외교학과,학부,2002,/partner/expReport.asp?id=564&page=1&bgbn=R,1
