No,제목,학과,과정,년도,href,BERT_SCORE
39,조금의 후회도 없는 자연의 나라 뉴질랜드,화공생명공학,학부,2019,/partner/expReport.asp?id=15760&page=1&bgbn=R,1
38,UOA에서의 한 학기,국제통상학과,학부,2019,/partner/expReport.asp?id=15730&page=1&bgbn=R,1
37,University of Auckland에서 두 학기를 보내며,교육학과,학부,2018,/partner/expReport.asp?id=15402&page=1&bgbn=R,1
36,오클랜드대학교 교환,UIC,학부,2017,/partner/expReport.asp?id=14608&page=1&bgbn=R,0
35,A semester in Auckland,글로벌인재학부,학부,2017,/partner/expReport.asp?id=14573&page=1&bgbn=R,1
34,너무 빠르지도 너무 느리지도 않았던 UOA에서의 한 학기,토목환경공학과,학부,2017,/partner/expReport.asp?id=14036&page=1&bgbn=R,1
33,새로운 경험,동아시아국제학부,학부,2016,/partner/expReport.asp?id=13419&page=1&bgbn=R,0
32,"뉴질랜드도, 오클랜드 대학도, 잊지 못할 것 같습니다.",문화인류학과,학부,2015,/partner/expReport.asp?id=13358&page=1&bgbn=R,1
31,A semester in the Land of the Long White Clouds,Underwood International College,학부,2016,/partner/expReport.asp?id=13357&page=1&bgbn=R,1
30,One semester in Auckland,Underwood International College,학부,2015,/partner/expReport.asp?id=12729&page=1&bgbn=R,1
29,"나에게로 떠나는 여행, 뉴질랜드에서의 1년",사회복지학과,학부,2014-2015,/partner/expReport.asp?id=12028&page=2&bgbn=R,1
28,"Aotearoa 하늘과 구름의 나라, 뉴질랜드 교환학생 보고서",경영학과,학부,2014,/partner/expReport.asp?id=7546&page=2&bgbn=R,1
27,뉴질랜드 생활 보고서,신문방송학과,학부,2014,/partner/expReport.asp?id=7525&page=2&bgbn=R,0
26,뉴질랜드 오클랜드 대학교 교환학생 경험보고서,경제학과,학부,2012-2013,/partner/expReport.asp?id=7455&page=2&bgbn=R,0
25,그리운 뉴질랜드에서의 한 학기,식품영양학과,학부,2014,/partner/expReport.asp?id=7398&page=2&bgbn=R,1
24,많이 배우며 즐겁게 보낸 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6674&page=2&bgbn=R,1
23,내 생에 최고의 힐링 뉴질랜드,경제학과,학부,2013,/partner/expReport.asp?id=6566&page=2&bgbn=R,1
22,참 많이 다른 곳에서 영어공부보다 중요한 것 찾아오기.,정보산업공학과,학부,2013,/partner/expReport.asp?id=6464&page=2&bgbn=R,1
21,내 대학생활 최고의 한학기,노어노문학과,학부,2012,/partner/expReport.asp?id=6010&page=2&bgbn=R,1
20,"다시 돌아가고 싶은 그 곳, 오클랜드에서의 1년",영어영문,학부,2011-2012,/partner/expReport.asp?id=5992&page=2&bgbn=R,1
19,경험 보고서 -,신문방송학과,학부,2011-2012,/partner/expReport.asp?id=5773&page=3&bgbn=R,0
18,나를 찾는 시간,문화인류학과,학부,2012,/partner/expReport.asp?id=5704&page=3&bgbn=R,1
17,오클랜드에서 보낸 두 학기,철학과,학부,2011,/partner/expReport.asp?id=5363&page=3&bgbn=R,1
16,오클랜드대학교에서의 잊지못할 한학기,법학과,학부,2010,/partner/expReport.asp?id=5318&page=3&bgbn=R,1
15,여유롭고 행복했던 뉴질랜드에서의 1학기,국어국문학과,학부,2011,/partner/expReport.asp?id=5248&page=3&bgbn=R,1
14,가장 아름다운나라 뉴질랜드에서의 1년,심리학과,학부,2011,/partner/expReport.asp?id=5210&page=3&bgbn=R,1
13,Chch에서 보낸 두 학기...,심리학과,학부,2010,/partner/expReport.asp?id=4596&page=3&bgbn=R,0
12,키위가 꿈꾸는 하늘,영어영문학과,학부,2009,/partner/expReport.asp?id=3677&page=3&bgbn=R,1
11,소중했던 평생 기억에 남을 1학기,화학공학과,학부,2007,/partner/expReport.asp?id=2903&page=3&bgbn=R,1
10,교환학생 보고서,심리학과,학부,2006,/partner/expReport.asp?id=2731&page=3&bgbn=R,0
9,Auckland에서의 1학기,경영학과,학부,2007,/partner/expReport.asp?id=2590&page=4&bgbn=R,0
8,오클랜드대학교 경험보고서,정치외교학과,학부,2006,/partner/expReport.asp?id=2285&page=4&bgbn=R,0
7,"""꿈"" 같았던 오클랜드 대학 교환학생 생활",영어영문학과,학부,2006,/partner/expReport.asp?id=2281&page=4&bgbn=R,1
6,"지상의 낙원, 뉴질랜드",영문학과,학부,2005-2006,/partner/expReport.asp?id=2232&page=4&bgbn=R,1
5,내게 닿아준 기회가 고마웠던 1년.,영어영문학과,학부,2005,/partner/expReport.asp?id=1808&page=4&bgbn=R,1
4,University of Auckland 경험 보고서,사회학과,학부,2004-2005,/partner/expReport.asp?id=1716&page=4&bgbn=R,0
3,2004년의 잊지 못할 시간들,경영학전공,학부,2004,/partner/expReport.asp?id=1393&page=4&bgbn=R,1
2,교환학생 경험보고서,경영학전공,학부,2003,/partner/expReport.asp?id=1024&page=4&bgbn=R,0
1,교환학생 파견 보고서.,정치외교학과,학부,2002-2002,/partner/expReport.asp?id=744&page=4&bgbn=R,0
