No,제목,학과,과정,년도,href,BERT_SCORE
12,Washington and Jefferson 에서의 두 학기,사회학과,학부,2019,/partner/expReport.asp?id=16125&page=1&bgbn=R,1
11,길고도 짧았던 2학기.,체육교육학과,학부,2018-2019,/partner/expReport.asp?id=15632&page=1&bgbn=R,1
10,W&J에서의 한 학기,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15552&page=1&bgbn=R,1
9,Dubjay 1년,경제학과,학부,2016,/partner/expReport.asp?id=13489&page=1&bgbn=R,0
8,따뜻하고 가족같았던 W&J 에서의 꿈 같았던 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12782&page=1&bgbn=R,1
7,W&J 교환학생 경험보고서,정치외교학과,학부,2015,/partner/expReport.asp?id=12110&page=1&bgbn=R,0
6,W&J 교환학생 경험보고서,행정학과,학부,2014,/partner/expReport.asp?id=7528&page=1&bgbn=R,0
5,"작지만 보석같은 그곳, W&J",경영학과,학부,2010-2011,/partner/expReport.asp?id=5001&page=1&bgbn=R,1
4,새로운 나를 발견해준 W&J에서의 1년,법학과,학부,2010-2011,/partner/expReport.asp?id=4882&page=1&bgbn=R,1
3,아담하고 가족같은 따듯한학교 W&J,경제학과,학부,2010,/partner/expReport.asp?id=4310&page=1&bgbn=R,1
2,W&J 교환학생 경험보고서,응용통계학과,학부,2010,/partner/expReport.asp?id=4270&page=2&bgbn=R,0
1,W&J 경험보고서,사회학과,학부,2008-2009,/partner/expReport.asp?id=3604&page=2&bgbn=R,1
