No,제목,학과,과정,년도,href,BERT_SCORE
21,1년간 정말 다사다난했지만 많은 것을 얻을 수 있었던 Chico,경영학과,학부,2015-2016,/partner/expReport.asp?id=13058&page=1&bgbn=R,1
20,따뜻한 햇살 아래 치코에서의 소중한 경험,행정학과,학부,2013-2014,/partner/expReport.asp?id=13022&page=1&bgbn=R,1
19,10개월간의 CHICO 교환학생 후기,신문방송학과,학부,2014-2015,/partner/expReport.asp?id=12361&page=1&bgbn=R,0
18,"살면서 제일 행복했던, 치코에서의 찬란한 시간",신문방송학과,학부,2014-2015,/partner/expReport.asp?id=12170&page=1&bgbn=R,1
17,치코에서 느꼈던 1년 간의 여유로웠던 삶,사학과,학부,2014-2015,/partner/expReport.asp?id=12106&page=1&bgbn=R,1
16,오랫동안 기억할 치코의 나날들,신문방송학과,학부,2014,/partner/expReport.asp?id=11872&page=1&bgbn=R,1
15,어디서도 얻을 수 없을 Chico에서의 소중했던 경험,정보산업공학과,대학원,2013-2014,/partner/expReport.asp?id=7333&page=1&bgbn=R,1
14,"따뜻하고 편안했던, 그 여름의 치코",경영학과,학부,2012,/partner/expReport.asp?id=6443&page=1&bgbn=R,1
13,"'mild'하지만 오래오래 생각나는 맛, goodbye chico",경영학과,학부,2012,/partner/expReport.asp?id=6418&page=1&bgbn=R,1
12,Legendary party school!!!!!!!!,경제학과,학부,2012,/partner/expReport.asp?id=6337&page=1&bgbn=R,1
11,치코 교환 수기,정치외교학과,학부,2012,/partner/expReport.asp?id=5729&page=2&bgbn=R,0
10,마음의 고향이 되어버린 치코,신문방송학과,학부,2011-2012,/partner/expReport.asp?id=5683&page=2&bgbn=R,1
9,"풍요로운 자연 속, 여유를 찾은 1년",의류환경학과,학부,2011-2012,/partner/expReport.asp?id=5680&page=2&bgbn=R,1
8,"내 인생 최고의 행운, CSU Chico",경영학과,학부,2011-2012,/partner/expReport.asp?id=5603&page=2&bgbn=R,1
7,빛나던 날씨의 치코,경영학과,학부,2011,/partner/expReport.asp?id=5591&page=2&bgbn=R,1
6,치코에서의 한 학기,응용통계학과,학부,2010,/partner/expReport.asp?id=5016&page=2&bgbn=R,1
5,치코에서의 1년,토목환경공학부,학부,2010,/partner/expReport.asp?id=4733&page=2&bgbn=R,1
4,치코에서의 한 학기,불어불문/정치외교,학부,2010,/partner/expReport.asp?id=4529&page=2&bgbn=R,1
3,조용하고 평화로운 Chico,경영학과,학부,2010,/partner/expReport.asp?id=4454&page=2&bgbn=R,1
2,CSU Chico 경험보고서,영어영문학과,학부,2007,/partner/expReport.asp?id=2988&page=2&bgbn=R,1
1,"CSU, Chico-이승연",아동·가족전공,학부,1998,/partner/expReport.asp?id=34&page=3&bgbn=R,1
