No,제목,학과,과정,년도,href,BERT_SCORE
29,William and Mary 에서의 한 학기,의예과,학부,2019,/partner/expReport.asp?id=16225&page=1&bgbn=R,1
28,윌메에서 한 학기!,언더우드학부 경제학과,학부,2019,/partner/expReport.asp?id=15600&page=1&bgbn=R,1
27,특별했던 WM에서의 4개월,창의기술경영학과,학부,2018,/partner/expReport.asp?id=15266&page=1&bgbn=R,1
26,잊지 못할 WM에서의 두 학기,언더우드국제대학 경제학과,학부,2017-2018,/partner/expReport.asp?id=14884&page=1&bgbn=R,1
25,WM에서의 한 학기,의예과,학부,2017,/partner/expReport.asp?id=13926&page=1&bgbn=R,1
24,WM에서의 값진 한 학기를 보내고 왔습니다:D,정치외교학과,학부,2016,/partner/expReport.asp?id=13445&page=1&bgbn=R,1
23,William and Mary 에서의 1학기,의예과,학부,2016,/partner/expReport.asp?id=13107&page=1&bgbn=R,1
22,William and Mary에서의 한학기,언더우드국제대학,학부,2015,/partner/expReport.asp?id=12590&page=1&bgbn=R,1
21,William and Mary에서의 한 학기,의예과,학부,2015,/partner/expReport.asp?id=12143&page=1&bgbn=R,1
20,william and mary 한 학기 교환학생,언더우드국제대학,학부,2014,/partner/expReport.asp?id=10662&page=1&bgbn=R,1
19,학교생활 후기,영문학과,학부,2013-2014,/partner/expReport.asp?id=7198&page=2&bgbn=R,0
18,William and Mary,영어영문학과,학부,2012,/partner/expReport.asp?id=6065&page=2&bgbn=R,1
17,the College of William and Mary,영어영문학과,학부,2011,/partner/expReport.asp?id=5506&page=2&bgbn=R,1
16,College of William and Mary에서의 1년,언더우드국제학부,학부,2010-2011,/partner/expReport.asp?id=4920&page=2&bgbn=R,0
15,Virginia에 있는 WM에 다녀와서,사학과,학부,2010,/partner/expReport.asp?id=4660&page=2&bgbn=R,1
14,College of William and Mary는,영어영문학,학부,2008-2009,/partner/expReport.asp?id=3658&page=2&bgbn=R,1
13,College of William and Mary- 김진주,생명공학과,학부,2008,/partner/expReport.asp?id=3350&page=2&bgbn=R,1
12,College of William and Mary-Pride Tribe!,영어영문학과,학부,2007-2008,/partner/expReport.asp?id=3283&page=2&bgbn=R,1
11,"홀로서기, 나를 돌아보는 시간.",중어중문학과,학부,2007,/partner/expReport.asp?id=2969&page=2&bgbn=R,1
10,꿈만 같았던 W&M 생활..,경제학과,학부,2006,/partner/expReport.asp?id=2324&page=2&bgbn=R,0
9,William and Mary,경제학과,학부,2005-2006,/partner/expReport.asp?id=2066&page=3&bgbn=R,1
8,"새로운 경험, Williamsburg에서의 9개월",경제학과,학부,2004-2005,/partner/expReport.asp?id=1780&page=3&bgbn=R,1
7,College of William and Mary,경제학과,학부,2004-2005,/partner/expReport.asp?id=1635&page=3&bgbn=R,1
6,잊지 못할 시간들~,경영학전공,학부,2004,/partner/expReport.asp?id=1286&page=3&bgbn=R,1
5,College of William and Mary,정치외교학과,학부,2004,/partner/expReport.asp?id=1283&page=3&bgbn=R,1
4,스무살의 소중한 기억 College of William & Mary,심리학전공,학부,2003-2004,/partner/expReport.asp?id=1164&page=3&bgbn=R,1
3,College of William and Mary,경영학전공,학부,2002-2003,/partner/expReport.asp?id=838&page=3&bgbn=R,1
2,College of William and Mary - 이소윤,영어영문학전공,학부,2001,/partner/expReport.asp?id=709&page=3&bgbn=R,1
1,College of William and Mary - 이봉석,철학전공,학부,2001-2002,/partner/expReport.asp?id=658&page=3&bgbn=R,1
