No,제목,학과,과정,년도,href,BERT_SCORE
21,Meiji GAkuin University,동아시아국제학부,학부,2013,/partner/expReport.asp?id=6596&page=1&bgbn=R,0
20,"여유를 갖고 일본을 온몸으로 느끼고 싶다면, 메이지가쿠인으로",역사문화학,학부,2009-2010,/partner/expReport.asp?id=4392&page=1&bgbn=R,0
19,무엇을 기대하든 상상 이상을 보게 되었던 시간,신문방송학과,학부,2009-2010,/partner/expReport.asp?id=4353&page=1&bgbn=R,0
18,도쿄에서의 한 학기,사회학과,학부,2009,/partner/expReport.asp?id=3882&page=1&bgbn=R,1
17,"소중한 기억, 메이지 가쿠인(MGU)",경영학과,학부,2008,/partner/expReport.asp?id=3592&page=1&bgbn=R,1
16,후회없는 선택!! 메이지 가쿠인!!,사회학과,학부,2008,/partner/expReport.asp?id=3315&page=1&bgbn=R,1
15,잊을 수 없는 1년.,영어영문학과,학부,2006,/partner/expReport.asp?id=2515&page=1&bgbn=R,0
14,너무 짧았던 한 학기,정치외교학과,학부,2005,/partner/expReport.asp?id=1987&page=1&bgbn=R,1
13,메이지가쿠잉,경영학과,학부,2005,/partner/expReport.asp?id=1960&page=1&bgbn=R,0
12,교환학생 생활을 알려주마,사회학과,학부,2004,/partner/expReport.asp?id=1907&page=1&bgbn=R,0
11,메이지가쿠인에서의 열달,신문방송학과,학부,2005,/partner/expReport.asp?id=1875&page=2&bgbn=R,1
10,메이지가꾸인,인문학부,학부,2004,/partner/expReport.asp?id=1718&page=2&bgbn=R,0
9,동경에서의 한 학기,건축공학전공,학부,2004,/partner/expReport.asp?id=1492&page=2&bgbn=R,1
8,메이지 가쿠인에서의 네달..,교육학과,학부,2004,/partner/expReport.asp?id=1342&page=2&bgbn=R,1
7,"나를 더 자라게 한 소중한 경험, 교환학생",경제학전공,학부,2003,/partner/expReport.asp?id=1134&page=2&bgbn=R,1
6,잊을 수 없는 나라 일본,생활과학부,학부,2003,/partner/expReport.asp?id=999&page=2&bgbn=R,1
5,메이지가쿠인대학을 다녀와서..,경제학전공,학부,2003,/partner/expReport.asp?id=997&page=2&bgbn=R,1
4,Meiji Gakuin Uni.,기계전자공학부,학부,2002,/partner/expReport.asp?id=784&page=2&bgbn=R,0
3,경험보고서,불어불문학전공,학부,2002,/partner/expReport.asp?id=743&page=2&bgbn=R,0
2,Meiji Gakuin Univ. - 박정미,신문방송학과,학부,2002,/partner/expReport.asp?id=673&page=2&bgbn=R,1
1,Meiji Gakuin Univ. - 장정,기계전자공학부,학부,2002,/partner/expReport.asp?id=630&page=3&bgbn=R,0
