No,제목,학과,과정,년도,href,BERT_SCORE
17,UTK에서의 1년,화공생명공학과,학부,2015-2016,/partner/expReport.asp?id=13052&page=1&bgbn=R,0
16,잊지 못할 UTK에서의 한 학기,상경대학 경제학과,학부,2012,/partner/expReport.asp?id=5639&page=1&bgbn=R,1
15,평화롭고 따스했던 녹스빌에서의 일년,아동가족,학부,2010,/partner/expReport.asp?id=4688&page=1&bgbn=R,1
14,Big orange에서의 잊지못할 1년,경영학과,학부,2009,/partner/expReport.asp?id=3931&page=1&bgbn=R,1
13,잊을 수 없는 한학기 UTK,화학공학과,학부,2009,/partner/expReport.asp?id=3646&page=1&bgbn=R,0
12,Time of My Life,사회학과,학부,2008,/partner/expReport.asp?id=3397&page=1&bgbn=R,1
11,UTK에서 보낸 한학기,경영학과,학부,2007,/partner/expReport.asp?id=2869&page=1&bgbn=R,1
10,It's great to be a Tennessee VOL!,식품영양학과,학부,2006-2007,/partner/expReport.asp?id=2816&page=1&bgbn=R,1
9,"Univ. of Tennessee, Knoxville",의공학부,학부,2005,/partner/expReport.asp?id=1819&page=1&bgbn=R,1
8,"Go,Big Orange~!",중어중문학전공,학부,2003,/partner/expReport.asp?id=1059&page=1&bgbn=R,1
7,UT에서의 일년,사회과학대학,학부,2002-2003,/partner/expReport.asp?id=836&page=2&bgbn=R,1
6,"Univ. Of Tennessee, knoxville - 함현정",세라믹공학전공,학부,2002,/partner/expReport.asp?id=720&page=2&bgbn=R,1
5,U of Tennessee Knoxville - 고세은,경영학전공,학부,2000-2001,/partner/expReport.asp?id=495&page=2&bgbn=R,1
4,"U of Tennessee, Knoxvile-김준호",경제학전공,학부,2000,/partner/expReport.asp?id=247&page=2&bgbn=R,1
3,"U of Tennessee, Knoxville-기선아",인문학부,학부,1999,/partner/expReport.asp?id=71&page=2&bgbn=R,1
2,"U of Tennessee, Knoxville-홍영준",전기전자공학전공,학부,1998,/partner/expReport.asp?id=57&page=2&bgbn=R,1
1,"U of Tennessee, Knoxville-최현영",사회복지학과,학부,1999,/partner/expReport.asp?id=51&page=2&bgbn=R,1
