No,제목,학과,과정,년도,href,BERT_SCORE
117,샴페인에서의 새로운 1년,"심리학과, 시스템생물학과",학부,2019,/partner/expReport.asp?id=16361&page=1&bgbn=R,0
116,"‘나’를 찾고 ‘너’를 만났던, UIUC에서의 2019년","국제관계학, 경영학",학부,2019,/partner/expReport.asp?id=16256&page=1&bgbn=R,1
115,나에게 더 큰 세상을 보여주었던 절대 못 잊을 UIUC에서의 한 학기,응용통계학과,학부,2019,/partner/expReport.asp?id=15831&page=1&bgbn=R,1
114,UIUC에서 봄학기 2019,나노과학공학과,학부,2019,/partner/expReport.asp?id=15768&page=1&bgbn=R,1
113,UIUC 에서의 1년,응용통계학과,학부,2018-2019,/partner/expReport.asp?id=15634&page=1&bgbn=R,1
112,인생에서 가장 다양한 경험을 했던 4개월,"중어중문학과, 경영학과",학부,2019,/partner/expReport.asp?id=15579&page=1&bgbn=R,1
111,많은 사람들에게 배울 수 있었던 UIUC에서의 한 학기,심리학과,학부,2018,/partner/expReport.asp?id=15347&page=1&bgbn=R,1
110,U of I 교환생활,문화인류학과,학부,2018,/partner/expReport.asp?id=15275&page=1&bgbn=R,0
109,A semester at UIUC,UIC 정치외교학과,학부,2018,/partner/expReport.asp?id=15253&page=1&bgbn=R,1
108,문의 이메일에 ***가 있으면 어떻게 연락을 하지,EESE,학부,2017,/partner/expReport.asp?id=14373&page=1&bgbn=R,1
107,일리노이에서 한학기,철학과,학부,2017,/partner/expReport.asp?id=14058&page=2&bgbn=R,1
106,UIUC에서 2017 봄학기,전기전자공학과,학부,2017,/partner/expReport.asp?id=14029&page=2&bgbn=R,1
105,UIUC에서의 봄학기,정보산업공학과,학부,2017,/partner/expReport.asp?id=14027&page=2&bgbn=R,1
104,UIUC에서의 한 학기!,교육학과,학부,2017,/partner/expReport.asp?id=13983&page=2&bgbn=R,1
103,UIUC에서의 인생 최고의 1년,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13779&page=2&bgbn=R,1
102,UIUC에서의 2016년 (:,심리학과,학부,2016,/partner/expReport.asp?id=13658&page=2&bgbn=R,1
101,UIUC 에서 교환 2학기의 소중한 경험하고 왔습니다!,토목환경공학과,학부,2015-2016,/partner/expReport.asp?id=13070&page=2&bgbn=R,1
100,UIUC에서의 여유로운 한 학기,경제학부,학부,2016,/partner/expReport.asp?id=13044&page=2&bgbn=R,1
99,샴페인에서의 한 학기,경제학과,학부,2016,/partner/expReport.asp?id=12993&page=2&bgbn=R,1
98,심리학과로서의 한학기,국어국문학과,학부,2016,/partner/expReport.asp?id=12980&page=2&bgbn=R,1
97,UIUC에서의 한 학기☆★,천문우주학과,학부,2015,/partner/expReport.asp?id=12534&page=3&bgbn=R,1
96,일리노이에서 행복했던 가을학기 :3,언론홍보영상학부,학부,2015,/partner/expReport.asp?id=12447&page=3&bgbn=R,1
95,정말 알차고 즐거웠던 한 학기!!!!!!!!!,언론홍보영상학부,학부,2015,/partner/expReport.asp?id=12419&page=3&bgbn=R,1
94,미국의 대학생활,심리학과,학부,2015,/partner/expReport.asp?id=12091&page=3&bgbn=R,0
93,한 학기는 너무 짧아요!,생명공학과,학부,2014,/partner/expReport.asp?id=12055&page=3&bgbn=R,1
92,UIUC에서의 잊을 수 없는 한 학기:),사회복지학과,학부,2015,/partner/expReport.asp?id=11978&page=3&bgbn=R,1
91,한 학기 동안의 여유로운 휴식,경영학과,학부,2015,/partner/expReport.asp?id=11949&page=3&bgbn=R,1
90,UIUC에서의 평화로웠던 나날들,물리학과,학부,2015,/partner/expReport.asp?id=11932&page=3&bgbn=R,1
