No,제목,학과,과정,년도,href,BERT_SCORE
10,칼폴리를 다녀와서,건축학과,학부,2015-2016,/partner/expReport.asp?id=13102&page=1&bgbn=R,1
9,Cal Poly San Luis Obispo에서의 세 쿼터,국어국문학과,학부,2015-2016,/partner/expReport.asp?id=13006&page=1&bgbn=R,0
8,우연이 가져다 준 행운,응용통계학과,학부,2014-2015,/partner/expReport.asp?id=12660&page=1&bgbn=R,1
7,그리운 나의 학교 cal poly,사회학과,학부,2013-14,/partner/expReport.asp?id=7293&page=1&bgbn=R,0
6,귀국보고서[Cal poly San Luis Obispo],건축학과,학부,2013-2014,/partner/expReport.asp?id=7216&page=1&bgbn=R,0
5,calpoly 교환학생을 다녀온 후,작업치료학과,학부,2011-2012,/partner/expReport.asp?id=5684&page=1&bgbn=R,0
4,"Cal Poly, San Luis Obispo 후기",경제학과,학부,2008-2009,/partner/expReport.asp?id=3630&page=1&bgbn=R,0
3,"Cal Poly, San Luis Obispo",건축학과(5년제),학부,2007,/partner/expReport.asp?id=2888&page=1&bgbn=R,1
2,San Luis Obispo를 다녀와서...,기계전자공학부,학부,2005,/partner/expReport.asp?id=1775&page=1&bgbn=R,1
1,Calpoly San Luis Obispo 를 다녀와서,전기전자공학전공,학부,2002-2003,/partner/expReport.asp?id=933&page=1&bgbn=R,1
