No,제목,학과,과정,년도,href,BERT_SCORE
38,"조용한 솔트레이크시티, 바람잘날 없는 교환생활",컴퓨터과학(복수전공),학부,2020,/partner/expReport.asp?id=16534&page=1&bgbn=R,0
37,아름다운 유타의 가을학기 파견보고서,경제학과,학부,2019,/partner/expReport.asp?id=16450&page=1&bgbn=R,1
36,평화롭고 안전했던 유타에서의 한 학기,화학과,학부,2019,/partner/expReport.asp?id=16146&page=1&bgbn=R,1
35,유타에서 한 학기,경영학과,학부,2019-1,/partner/expReport.asp?id=16075&page=1&bgbn=R,1
34,유타에서의 한학기,경제학과,학부,2019,/partner/expReport.asp?id=15954&page=1&bgbn=R,1
33,유타에서의 한학기,경영학과,학부,2017,/partner/expReport.asp?id=14546&page=1&bgbn=R,1
32,U of U,EESE,학부,2017,/partner/expReport.asp?id=14419&page=1&bgbn=R,1
31,살기좋고 평화로운 유타,체육교육학과,학부,2017,/partner/expReport.asp?id=14196&page=1&bgbn=R,1
30,다시 돌아가고 싶은 유타,화공생명공학과,학부,2016-2017,/partner/expReport.asp?id=13943&page=1&bgbn=R,1
29,평화로운 도시 유타,경영학과,학부,2017,/partner/expReport.asp?id=13890&page=1&bgbn=R,1
28,스키와 캠핑 등 아웃도어라이프 가득한 유타,도시공학과,학부,2016,/partner/expReport.asp?id=13625&page=2&bgbn=R,0
27,가장 경제적인 유타대 교환학생 생활을 원하시는 분들에게 드리는 꿀팁,경영학과,학부,2016,/partner/expReport.asp?id=13449&page=2&bgbn=R,1
26,유타에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12794&page=2&bgbn=R,1
25,경험보고서,화공생명공학과,학부,2015,/partner/expReport.asp?id=12384&page=2&bgbn=R,1
24,U of U에서의 한 학기,영어영문학과,학부,2015,/partner/expReport.asp?id=12287&page=2&bgbn=R,1
23,유타 생각보다 열라 좋아요 교통좋지 안전하지,철학과,학부,2015,/partner/expReport.asp?id=12083&page=2&bgbn=R,1
22,Utah???? Utah!!!!,기계공학과,학부,2015,/partner/expReport.asp?id=11947&page=2&bgbn=R,1
21,Utah에서의 1학기,경영학과,학부,2015,/partner/expReport.asp?id=11945&page=2&bgbn=R,1
20,봄 학기 교환학생 보고서,심리학과,학부,2015,/partner/expReport.asp?id=11939&page=2&bgbn=R,0
19,잊지못할 U에서의 추억,경영학과,학부,2014,/partner/expReport.asp?id=8622&page=2&bgbn=R,1
18,Utah 대학 경험보고서,비교문학과 문화,학부,2014,/partner/expReport.asp?id=7119&page=3&bgbn=R,1
17,유타대학 경험보고서,물리학과,학부,2013,/partner/expReport.asp?id=6820&page=3&bgbn=R,1
16,솔트레이크시티에서의 사계절,교육학과,학부,2013,/partner/expReport.asp?id=6372&page=3&bgbn=R,0
15,Go U!,경제학과,학부,2012,/partner/expReport.asp?id=6269&page=3&bgbn=R,1
14,Univ. of Utah,신문방송학과,학부,2011,/partner/expReport.asp?id=5757&page=3&bgbn=R,0
13,U of U!!,"체육교육학과, 신문방송학과",학부,2011-2012,/partner/expReport.asp?id=5634&page=3&bgbn=R,0
12,누가 유타 구리대,정치외교학과,학부,2011,/partner/expReport.asp?id=5289&page=3&bgbn=R,0
11,유타에서의 1년,경영학과,학부,2010-2011,/partner/expReport.asp?id=5146&page=3&bgbn=R,0
10,유타에서 보낸 잊지못할 7개월,토목환경공학과,학부,2011,/partner/expReport.asp?id=5076&page=3&bgbn=R,1
9,쏠렉에서의 9개월,경제학과,학부,2010-2011,/partner/expReport.asp?id=4884&page=3&bgbn=R,1
8,U of U,화학공학과,학부,2009-2010,/partner/expReport.asp?id=4238&page=4&bgbn=R,1
7,유타대학교 교환학생 경험보고서,경제.수학,학부,2009-2010,/partner/expReport.asp?id=4227&page=4&bgbn=R,0
6,미국안의 또 다른 세계,노어노문학과,학부,2009,/partner/expReport.asp?id=4216&page=4&bgbn=R,1
5,유타 이야기,정치외교학과,학부,2009,/partner/expReport.asp?id=3972&page=4&bgbn=R,1
4,유타에서의 잊지 못할 추억,철학과,학부,2009,/partner/expReport.asp?id=3932&page=4&bgbn=R,1
3,University of Utah,생화학,학부,2006-2007,/partner/expReport.asp?id=2660&page=4&bgbn=R,1
2,유타주립대 교환학생 경험보고서,체육교육과,학부,2003,/partner/expReport.asp?id=1119&page=4&bgbn=R,0
1,U of Utah-김연경,교육학과,학부,2000,/partner/expReport.asp?id=229&page=4&bgbn=R,1
