No,제목,학과,과정,년도,href,BERT_SCORE
63,유매스에서 꿈 같았던 3개월 !,경제학과,학부,2020-1,/partner/expReport.asp?id=16538&page=1&bgbn=R,1
62,유매스에서의 1년,산업공학과,학부,2019,/partner/expReport.asp?id=16284&page=1&bgbn=R,0
61,경험보고서,경영학과,학부,2019,/partner/expReport.asp?id=16158&page=1&bgbn=R,1
60,UMASS AMHERST 교환후기 !,경영학과,학부,2019,/partner/expReport.asp?id=16152&page=1&bgbn=R,1
59,UMass 에서의 한학기,의예과,학부,2019,/partner/expReport.asp?id=16120&page=1&bgbn=R,1
58,UMASS 에서의 한학기,화공생명공학과,학부,2017,/partner/expReport.asp?id=15794&page=1&bgbn=R,1
57,UMASS에서 보낸 한 학기의 추억,언더우드학부,학부,2019,/partner/expReport.asp?id=15542&page=1&bgbn=R,1
56,메사추세츠 주립대학교,중어중문학과,학부,2019,/partner/expReport.asp?id=15538&page=1&bgbn=R,1
55,UMass에서 두 학기 동안 지내면서 느낀점,경영학과,학부,2018-2019,/partner/expReport.asp?id=15532&page=1&bgbn=R,1
54,Umass에서의 한 학기,신학과,학부,2018,/partner/expReport.asp?id=15284&page=1&bgbn=R,1
53,UMass 교환학생 경험보고서,계량위험관리,학부,2018,/partner/expReport.asp?id=15274&page=2&bgbn=R,0
52,교환학생 파견 보고서,의예과,학부,2018,/partner/expReport.asp?id=15252&page=2&bgbn=R,0
51,Umass에서의 행복했던 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=14991&page=2&bgbn=R,1
50,행복한 교환생활,경영학과,학부,2018,/partner/expReport.asp?id=14883&page=2&bgbn=R,1
49,교환학생 파견 보고서,신학과,학부,2018,/partner/expReport.asp?id=14866&page=2&bgbn=R,0
48,유매스에서의 2017-1,언론홍보영상학과,학부,2017-1,/partner/expReport.asp?id=14813&page=2&bgbn=R,1
47,UMass 교환학생 후기,문화인류학,학부,2017-2,/partner/expReport.asp?id=14619&page=2&bgbn=R,0
46,유매스에서의 잊지 못할 한 학기,경제학과,학부,2017-2,/partner/expReport.asp?id=14453&page=2&bgbn=R,1
45,유매스에서 보낸 봄학기,교육학과,학부,2017,/partner/expReport.asp?id=14010&page=2&bgbn=R,1
44,UMass 교환학생 후기,화학과,학부,2017,/partner/expReport.asp?id=14005&page=2&bgbn=R,0
43,잊혀지지 않는 UMass Amherst에서의 1년,경영학과,학부,2016,/partner/expReport.asp?id=13996&page=3&bgbn=R,0
42,Umass에서의 1년,경영학과,학부,2016-2017,/partner/expReport.asp?id=13966&page=3&bgbn=R,0
