No,제목,학과,과정,년도,href,BERT_SCORE
18,다시 돌아가고 싶은 JMU,사회복지학과,학부,2015,/partner/expReport.asp?id=13421&page=1&bgbn=R,0
17,JMU에서 소중했던 시간,스포츠레저학과 / 영어영문학과,학부,2015-2016,/partner/expReport.asp?id=12573&page=1&bgbn=R,1
16,JMU,영어영문학과/경제학과,학부,2011-2012,/partner/expReport.asp?id=5600&page=1&bgbn=R,1
15,James Madison University,심리학,학부,2008,/partner/expReport.asp?id=5066&page=1&bgbn=R,1
14,JMU에서 행복했던 9개월,심리학과,학부,2010-2011,/partner/expReport.asp?id=4881&page=1&bgbn=R,1
13,JMU에서의 행복했던 1년,교육학과(국문이중),학부,2010,/partner/expReport.asp?id=4666&page=1&bgbn=R,1
12,JMU에서의,영어영문,학부,2009,/partner/expReport.asp?id=4027&page=1&bgbn=R,1
11,"마음의 고향, 아직도 매일 꿈꾸는 JMU","심리학과,경영학과",학부,2009,/partner/expReport.asp?id=3996&page=1&bgbn=R,1
10,JMU에서의 즐거웠던 1년,행정학과 (경영학 이중전공),학부,2008,/partner/expReport.asp?id=3379&page=1&bgbn=R,1
9,JMU에서의 1년간의 생활,경영학과,학부,2007-2008,/partner/expReport.asp?id=3232&page=1&bgbn=R,1
8,잊을 수 없는 JMU에서의 교환학기,경제학과,학부,2007,/partner/expReport.asp?id=3060&page=2&bgbn=R,1
7,JMU를 소개합니다!,정치외교학과,학부,2006-2007,/partner/expReport.asp?id=2721&page=2&bgbn=R,1
6,"JMU에서의 1년, 결코 짧지 않았던...",교육학과 (영문학 이중전공),학부,2005-2006,/partner/expReport.asp?id=2126&page=2&bgbn=R,1
5,unforgettable memories in JMU,정치외교학과,학부,2005,/partner/expReport.asp?id=1964&page=2&bgbn=R,1
4,JMU 를 다녀와서,경영학과,학부,2004-2005,/partner/expReport.asp?id=1571&page=2&bgbn=R,0
3,아름다웠던 JMU 교환시절을 돌아보며^^,인문학부,학부,2002,/partner/expReport.asp?id=820&page=2&bgbn=R,1
2,James Madison University를 다녀와서,상경대학,학부,2002,/partner/expReport.asp?id=757&page=2&bgbn=R,1
1,제가 1년동안 함께 했던 JMU를 소개합니다.,경영학전공,학부,2002,/partner/expReport.asp?id=712&page=2&bgbn=R,1
