No,제목,학과,과정,년도,href,BERT_SCORE
42,사랑할 수밖에 없었던 도시,경제학과,학부,2020,/partner/expReport.asp?id=16482&page=1&bgbn=R,1
41,NYU에서의 한 학기,UIC 비교문학 / 경영학,학부,2019,/partner/expReport.asp?id=16338&page=1&bgbn=R,1
40,2019-2 NYU,"응용통계학과, 컴퓨터과학과",학부,2019,/partner/expReport.asp?id=16128&page=1&bgbn=R,0
39,"내가 나중에 추억팔이할 때 보려고 쓰는 최고로 자세한 NYU 교환학생 수기(자취, 학교 근처 맛집, 추천 수업, 동아리 등!!)",문화인류학과,학부,2018,/partner/expReport.asp?id=16074&page=1&bgbn=R,1
38,Spring in NYU,영어영문학과,학부,2019,/partner/expReport.asp?id=15637&page=1&bgbn=R,0
37,뉴욕대학교에서의 봄 2019,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15585&page=1&bgbn=R,1
36,Fall in NYU,UD경제학과,학부,2018 Fall,/partner/expReport.asp?id=15489&page=1&bgbn=R,0
35,뉴욕에서의 봄,언더우드국제대학 아시아학과,학부,2017,/partner/expReport.asp?id=15124&page=1&bgbn=R,1
34,Spring in NYU,경영학과,학부,2017,/partner/expReport.asp?id=15075&page=1&bgbn=R,0
33,Spring in NYU,UIC,학부,2018,/partner/expReport.asp?id=14977&page=1&bgbn=R,0
32,Spring in NYU,경영학과,학부,2018,/partner/expReport.asp?id=14961&page=2&bgbn=R,0
31,New York University에서의 소중한 한 학기,중어중문/경영,학부,2017,/partner/expReport.asp?id=14658&page=2&bgbn=R,1
30,뉴욕에서의 가을-겨울,사회학과,학부,2017,/partner/expReport.asp?id=14600&page=2&bgbn=R,1
29,솔직한 NYU 파견 보고서,응용통계학과,학부,2017,/partner/expReport.asp?id=14372&page=2&bgbn=R,0
28,New York University-Spring,경영학과,학부,2017,/partner/expReport.asp?id=14230&page=2&bgbn=R,1
27,Spring and New York University,영어영문학과,학부,2017,/partner/expReport.asp?id=14020&page=2&bgbn=R,1
26,"다양함을 배울 수 있었던 도시, 뉴욕",의예과,학부,2017,/partner/expReport.asp?id=13917&page=2&bgbn=R,1
25,NYU 에서의 한 학기,영어영문,학부,2016,/partner/expReport.asp?id=13063&page=2&bgbn=R,1
24,Spring in NYC,경영학과,학부,2016,/partner/expReport.asp?id=12979&page=2&bgbn=R,1
23,New York state of mind,중어중문,학부,2015,/partner/expReport.asp?id=12389&page=2&bgbn=R,1
22,뉴욕대에서의 봄학기,철학과,학부,2015,/partner/expReport.asp?id=12057&page=3&bgbn=R,1
21,무엇이든지 빠른 도시에서 빠르게 지나간 1년,철학과,학부,2014,/partner/expReport.asp?id=10687&page=3&bgbn=R,1
20,꿈만 같았던 NYU에서의 한 학기!,경영학과,학부,2014,/partner/expReport.asp?id=7561&page=3&bgbn=R,1
19,뉴욕에서의 1년,영어영문학과,학부,2013,/partner/expReport.asp?id=6785&page=3&bgbn=R,1
18,New York University,영어영문,학부,2013,/partner/expReport.asp?id=6668&page=3&bgbn=R,1
17,뉴욕에서의 감사한 1년,경제학과,학부,2012,/partner/expReport.asp?id=6104&page=3&bgbn=R,0
16,"사랑하는 도시, 뉴욕에서의 1년",사학과,학부,2012,/partner/expReport.asp?id=6051&page=3&bgbn=R,1
15,Welcome to the City that Never Sleeps,경영학과,학부,2008,/partner/expReport.asp?id=3449&page=3&bgbn=R,1
14,New York University,UIC 경제학,학부,2008,/partner/expReport.asp?id=3404&page=3&bgbn=R,1
13,My New York Life,UIC Comparative Literature & Culture,학부,2008,/partner/expReport.asp?id=3284&page=3&bgbn=R,1
12,IFA @ NYU,건축학과,대학원,2007-2008,/partner/expReport.asp?id=3162&page=4&bgbn=R,1
11,NYU,사회학과,대학원,2007,/partner/expReport.asp?id=3041&page=4&bgbn=R,1
10,"NYU, 도시 전체가 학교",커뮤니케이션 대학원,대학원,2006,/partner/expReport.asp?id=2790&page=4&bgbn=R,1
9,nyu-,생활디자인학과,학부,2006,/partner/expReport.asp?id=2291&page=4&bgbn=R,0
8,뉴욕대학교 경험보고서,경영,학부,2005-2006,/partner/expReport.asp?id=2011&page=4&bgbn=R,1
7,New York University,신문방송학과,학부,2006,/partner/expReport.asp?id=2009&page=4&bgbn=R,1
6,New York State of Mind,영어영문학과,학부,2004-2005,/partner/expReport.asp?id=1534&page=4&bgbn=R,1
5,NYU에서의 한 학기를 마치고,심리학전공,학부,2003,/partner/expReport.asp?id=1038&page=4&bgbn=R,1
4,경험보고서,사회환경건축공학부,학부,2002-2003,/partner/expReport.asp?id=970&page=4&bgbn=R,1
3,New York Univ. - 박재현,경영학전공,학부,2001-2002,/partner/expReport.asp?id=535&page=4&bgbn=R,1
2,New York Univ.-신지혜,인문학부,학부,2000-2001,/partner/expReport.asp?id=284&page=5&bgbn=R,1
1,New York Univ.-박선엽,정치외교학과,학부,2000,/partner/expReport.asp?id=266&page=5&bgbn=R,1
