No,제목,학과,과정,년도,href,BERT_SCORE
38,잊을 수 없는 홍콩에서의 한학기,경영학과,학부,2019-2,/partner/expReport.asp?id=16396&page=1&bgbn=R,1
37,즐거웠던 홍콩과학기술대학에서의 교환학생 review,경영학과,학부,2019,/partner/expReport.asp?id=16369&page=1&bgbn=R,0
36,행복했던 홍콩과기대에서의 한 학기,경영학과,학부,2019,/partner/expReport.asp?id=15911&page=1&bgbn=R,1
35,과기대에서의 행복한 순간들,경영,학부,2018,/partner/expReport.asp?id=15181&page=1&bgbn=R,1
34,너무나 행복했던 홍콩에서의 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=12772&page=1&bgbn=R,1
33,홍콩과기대에서의 교환학기,경영학과,학부,2015,/partner/expReport.asp?id=12752&page=1&bgbn=R,0
32,즐거웠던 홍콩에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=11913&page=1&bgbn=R,1
31,홍콩과의 인연,독어독문학과,학부,2013,/partner/expReport.asp?id=6978&page=1&bgbn=R,0
30,"글로벌 인재들이 모여드는 곳, 홍콩에서의 한 학기",경영학과,학부,2013,/partner/expReport.asp?id=6880&page=1&bgbn=R,1
29,젊은 날의 잊을 수 없는 추억을 안겨준 한 학기,행정학과/경영학과,학부,2012,/partner/expReport.asp?id=6110&page=1&bgbn=R,1
28,잊지 못할 홍콩과기대에서의 한 학기,경영학과,학부,2012,/partner/expReport.asp?id=5871&page=2&bgbn=R,1
27,HKUST,경영학과,학부,2012,/partner/expReport.asp?id=5791&page=2&bgbn=R,1
26,"대학생활의 정점, 즐거운 홍콩 교환학생 :-p",행정학과,학부,2009,/partner/expReport.asp?id=4858&page=2&bgbn=R,1
25,"홍콩, 그 자유로운 공기. 그리고 그 안에서의 성장",경제학과,학부,2010,/partner/expReport.asp?id=4634&page=2&bgbn=R,1
24,홍콩과기대,경영학과,학부,2008-2009,/partner/expReport.asp?id=3812&page=2&bgbn=R,0
23,홍콩과기대 파견보고서,경영대학 경영학과,학부,2008-2009,/partner/expReport.asp?id=3580&page=2&bgbn=R,0
22,HKUST에서의 자유로운 한 학기.,교육/영문,학부,2008,/partner/expReport.asp?id=3490&page=2&bgbn=R,1
21,Why HKUST?,경영학과,학부,2007-2008,/partner/expReport.asp?id=3297&page=2&bgbn=R,0
20,홍콩과학기술대학교,경영학과,학부,2007,/partner/expReport.asp?id=3007&page=2&bgbn=R,0
19,"Why HK, why UST",사회계열,학부,2007,/partner/expReport.asp?id=2602&page=2&bgbn=R,1
18,HKUST,경영학과,학부,2006,/partner/expReport.asp?id=2493&page=3&bgbn=R,1
17,잊지 못할 HKUST,경제학과,학부,2006,/partner/expReport.asp?id=2483&page=3&bgbn=R,0
16,잊을 수 없는 홍콩에서의 추억,경영학과,학부,2006,/partner/expReport.asp?id=2184&page=3&bgbn=R,1
15,Just for the fabulous life ♡,경영학과,학부,2006,/partner/expReport.asp?id=2178&page=3&bgbn=R,1
14,홍콩,경영학과,학부,2005-2006,/partner/expReport.asp?id=2062&page=3&bgbn=R,0
13,세계 금융의 중심 홍콩을 이끄는 원동력-HKUST,경제학과,학부,2005,/partner/expReport.asp?id=1948&page=3&bgbn=R,1
12,HKUST에서의 잊지 못할 추억,영어영문학과,학부,2005,/partner/expReport.asp?id=1840&page=3&bgbn=R,1
11,제 2의 고향 홍콩 그리고 UST,도시공학과,학부,2005,/partner/expReport.asp?id=1602&page=3&bgbn=R,0
10,포다이 음꼬이,경영학전공,학부,2004,/partner/expReport.asp?id=1473&page=3&bgbn=R,0
9,짧지만 강렬했던 HKUST에서의 한학기,경영학전공,학부,2004,/partner/expReport.asp?id=1471&page=3&bgbn=R,1
8,HKUST,상경계열,학부,2004,/partner/expReport.asp?id=1156&page=4&bgbn=R,1
7,아시아 경영대의 꽃 - HKUST,중어중문학전공,학부,2003,/partner/expReport.asp?id=1106&page=4&bgbn=R,1
6,HKUST,상경계열,학부,2003,/partner/expReport.asp?id=1056&page=4&bgbn=R,1
5,작지만 실속있는 학교 - HKUST,상경계열,학부,2002,/partner/expReport.asp?id=976&page=4&bgbn=R,1
4,다시가고싶은 HKUST,정치외교학과,학부,2002,/partner/expReport.asp?id=816&page=4&bgbn=R,1
3,Hong Kong U of Sci. and Tech. - 이혜은,문헌정보학전공,학부,2001-2002,/partner/expReport.asp?id=581&page=4&bgbn=R,1
2,Hong Kong U of Sci. & Tech. - 정수민,경영학전공,학부,2001,/partner/expReport.asp?id=357&page=4&bgbn=R,1
1,HKUST-박경환,경영학전공,학부,1998,/partner/expReport.asp?id=19&page=4&bgbn=R,1
