No,제목,학과,과정,년도,href,BERT_SCORE
18,얻은 것이 많은 Towson에서의 1년,불어불문학과(미국에서는 언론홍보영상),학부,2017-2018,/partner/expReport.asp?id=14888&page=1&bgbn=R,1
17,Towson University에서의 가을학기,"교육학과, 문화인류학과",학부,2017,/partner/expReport.asp?id=14492&page=1&bgbn=R,1
16,Towson에서의 가을학기,"교육학과, 국어국문학과",학부,2016,/partner/expReport.asp?id=13581&page=1&bgbn=R,1
15,Towson에서의 한학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13506&page=1&bgbn=R,1
14,내 인생 최고의 도전과 성공이었던 Towson에서의 1년,신문방송학과,학부,2015-2016,/partner/expReport.asp?id=13385&page=1&bgbn=R,1
13,그 어느 때보다 새로웠던 한 학기,"국어국문학과, 심리학과",학부,2016,/partner/expReport.asp?id=13225&page=1&bgbn=R,1
12,길면서도 짧았던 Towson에서의 한학기,사회학과,학부,2014,/partner/expReport.asp?id=7242&page=1&bgbn=R,1
11,내 인생의 소중한 1년을 만들어준 Towson,경영학과,학부,2012-2013,/partner/expReport.asp?id=6505&page=1&bgbn=R,1
10,내 인생 최고의 경험과 배움! Towson University,영어영문학과,학부,2010-2011,/partner/expReport.asp?id=5430&page=1&bgbn=R,1
9,"찰나의 순간같은 1년, 꿈 속에서도 아른거리는 towson의 추억!",행정학과,학부,2010,/partner/expReport.asp?id=5083&page=1&bgbn=R,1
8,다시 시간을 돌린대도 돌아갈 Towson !,경영학과,학부,2009,/partner/expReport.asp?id=4096&page=2&bgbn=R,1
7,Amazing experience in Towson University,영어영문학과,학부,2009,/partner/expReport.asp?id=4057&page=2&bgbn=R,1
6,"타우슨, 유 럽미? 알럽 유",경영학과,학부,2008,/partner/expReport.asp?id=3894&page=2&bgbn=R,0
5,소중한 추억으로 가득한 Towson에서의 1년.,경영학과,학부,2008-2009,/partner/expReport.asp?id=3563&page=2&bgbn=R,0
4,지극히 주관적인 관점에서 쓴 Towson 생활백서!,신문방송학과,학부,2008,/partner/expReport.asp?id=3510&page=2&bgbn=R,1
3,즐거웠던 한학기,의예과,학부,2007,/partner/expReport.asp?id=2832&page=2&bgbn=R,1
2,다시 교환학생으로 가고픈 Towson,"심리학, 경영학",학부,2006-2007,/partner/expReport.asp?id=2664&page=2&bgbn=R,1
1,"잊을 수 없는 1년, Towson Univ.",경영학과,학부,2005-2006,/partner/expReport.asp?id=2037&page=2&bgbn=R,0
