No,제목,학과,과정,년도,href,BERT_SCORE
18,PKU Exchange Program,언더우드국제대학,학부,2019,/partner/expReport.asp?id=16451&page=1&bgbn=R,0
17,베이징대 교환생활,중어중문학과,학부,2019,/partner/expReport.asp?id=16194&page=1&bgbn=R,0
16,북경대학교 교환학생,정치외교학과,학부,2019,/partner/expReport.asp?id=15979&page=1&bgbn=R,0
15,북경대학교 교환생활,중어중문학과,학부,2018,/partner/expReport.asp?id=15513&page=1&bgbn=R,0
14,북경대학교에서의 한 학기 교환생활,경영학과,학부,2018,/partner/expReport.asp?id=15209&page=1&bgbn=R,1
13,북경대에서의 교환학생 생활,연세대학교 경영학과,학부,2018,/partner/expReport.asp?id=14847&page=1&bgbn=R,0
12,"베이징대학교 경험보고서 (어학당, 경영전공)",경영학과,학부,2017,/partner/expReport.asp?id=14699&page=1&bgbn=R,0
11,가을학기 북경대학교 교환학생 파견,정치외교학과,학부,2017,/partner/expReport.asp?id=14422&page=1&bgbn=R,1
10,북경대학교 경험보고서,아시아학부,학부,2017,/partner/expReport.asp?id=14387&page=1&bgbn=R,0
9,북경대학교 교환학생,중어중문학과,학부,2017,/partner/expReport.asp?id=14304&page=1&bgbn=R,0
8,북경대 교환생활,사학과,학부,2016,/partner/expReport.asp?id=13623&page=2&bgbn=R,0
7,북경대학교 교환생활,중어중문학과,학부,2016,/partner/expReport.asp?id=13586&page=2&bgbn=R,0
6,북경대학교에서의 한 학기,경영학과,학부,2016,/partner/expReport.asp?id=13391&page=2&bgbn=R,1
5,북경대학교,중어중문학과,학부,2015,/partner/expReport.asp?id=12122&page=2&bgbn=R,1
4,북경대학교,중어중문학과,학부,2015,/partner/expReport.asp?id=12075&page=2&bgbn=R,1
3,북경대학교,정치외교학과,학부,2014,/partner/expReport.asp?id=7298&page=2&bgbn=R,1
2,북경대,중어중문학과,학부,2012,/partner/expReport.asp?id=6059&page=2&bgbn=R,1
1,중국 최고의 명문대학 北京大學,중어중문학과,학부,2011,/partner/expReport.asp?id=5520&page=2&bgbn=R,1
