No,제목,학과,과정,년도,href,BERT_SCORE
25,내 인생에서 다신 경험하지 못할 것 같은 행복했던 나날들 (San Jose State University),작업치료학과,학부,2014-2015,/partner/expReport.asp?id=12225&page=1&bgbn=R,1
24,SJSU에서의 경험보고서,경영학부,학부,2013-2014,/partner/expReport.asp?id=7106&page=1&bgbn=R,1
23,그리운 산호세!,화학과,학부,2012,/partner/expReport.asp?id=6076&page=1&bgbn=R,1
22,San Jose State University에서의 짧은 한학기,경영학과,학부,2012,/partner/expReport.asp?id=6036&page=1&bgbn=R,1
21,산호세에서의 한학기,작업치료,학부,2011,/partner/expReport.asp?id=5955&page=1&bgbn=R,1
20,주관적이고 자세한 경험보고서,기악,학부,2012,/partner/expReport.asp?id=5754&page=1&bgbn=R,1
19,행복한 산호세 :),경제학과,학부,2011-2012,/partner/expReport.asp?id=5631&page=1&bgbn=R,1
18,Welcome to San Jose!,경영학과,학부,2011,/partner/expReport.asp?id=5474&page=1&bgbn=R,1
17,SJSU에서의 1년,경영학과,학부,2009,/partner/expReport.asp?id=5448&page=1&bgbn=R,1
16,교환학생 경험보고서,전기전자공학과,학부,2010-2011,/partner/expReport.asp?id=5380&page=1&bgbn=R,0
15,san jose life~,경제학과,학부,2011,/partner/expReport.asp?id=5261&page=2&bgbn=R,1
14,한학기가 아쉬웠던 산호세,화공생명공학과,학부,2011,/partner/expReport.asp?id=4993&page=2&bgbn=R,1
13,즐거운 산호세,경영학과,학부,2010,/partner/expReport.asp?id=4697&page=2&bgbn=R,0
12,산호세에서의 1년,사회학과,학부,2010,/partner/expReport.asp?id=4690&page=2&bgbn=R,0
11,날씨 좋은 캘리의 SJSU,정보산업공학과,학부,2010,/partner/expReport.asp?id=4625&page=2&bgbn=R,1
10,심심했지만 유익했던 한 학기,중어중문학과,학부,2010,/partner/expReport.asp?id=4385&page=2&bgbn=R,1
9,San Jose에서의 일년,세라믹공학과,학부,2009-2010,/partner/expReport.asp?id=4304&page=2&bgbn=R,1
8,짧은 경험보고서,경영학과,학부,2010,/partner/expReport.asp?id=4275&page=2&bgbn=R,0
7,San Jose,화학공학,학부,2009,/partner/expReport.asp?id=3807&page=2&bgbn=R,1
6,Powering the Silicon Valley,정보산업공학과,학부,2008,/partner/expReport.asp?id=3577&page=2&bgbn=R,1
5,SJSU를 다녀와서,화학공학과,학부,2008,/partner/expReport.asp?id=3395&page=3&bgbn=R,0
4,San Jose State,전기전자공학부,학부,2008,/partner/expReport.asp?id=3122&page=3&bgbn=R,0
3,San Jose State University,정보산업공학,학부,2007,/partner/expReport.asp?id=2968&page=3&bgbn=R,0
2,SJSU 경험보고서,세라믹공학전공,학부,2004,/partner/expReport.asp?id=1163&page=3&bgbn=R,1
1,San Jose State University 경험보고서,경영학전공,학부,2002-2003,/partner/expReport.asp?id=950&page=3&bgbn=R,1
