No,제목,학과,과정,년도,href,BERT_SCORE
22,VU 경험보고서,행정학과,학부,2020,/partner/expReport.asp?id=16639&page=1&bgbn=R,0
21,"후회 없을 선택, 암스테르담 VU",QRM(계량위험관리학과),학부,2019,/partner/expReport.asp?id=16261&page=1&bgbn=R,1
20,꿈꿨던대로는 아니어도 꿈 같았던 암스테르담,철학과,학부,2019,/partner/expReport.asp?id=16184&page=1&bgbn=R,1
19,암스테르담에서의 한 학기,행정학과,학부,2019,/partner/expReport.asp?id=16172&page=1&bgbn=R,1
18,평화로웠던 암스테르담에서의 한 학기,국제학과,학부,2019,/partner/expReport.asp?id=16171&page=1&bgbn=R,1
17,암스테르담에서의 행복한 기억,경제학부,학부,2018,/partner/expReport.asp?id=16067&page=1&bgbn=R,1
16,놀러오세요 암스테르담!,문화디자인경영학과,학부,2019-1,/partner/expReport.asp?id=16024&page=1&bgbn=R,1
15,잊지 못할 암스 라이프,국제통상학과,학부,2019,/partner/expReport.asp?id=15978&page=1&bgbn=R,0
14,교환학생 경험보고서,경제학과,학부,2019,/partner/expReport.asp?id=15690&page=1&bgbn=R,0
13,꿈처럼 행복했던 5개월,언더우드국제학부 경제학과,학부,2019-1,/partner/expReport.asp?id=15648&page=1&bgbn=R,1
12,교환 경험보고서,국제대 지속개발협력과,학부,2018,/partner/expReport.asp?id=15491&page=2&bgbn=R,0
11,2018-2_VU 교환보고서,중어중문학과,학부,2018,/partner/expReport.asp?id=15381&page=2&bgbn=R,0
10,교환보고서,의류환경학과,학부,2018,/partner/expReport.asp?id=15316&page=2&bgbn=R,0
9,암스테르담 소확행,불어불문학과,학부,2018,/partner/expReport.asp?id=14908&page=2&bgbn=R,0
8,암스테르담에서의 잊지 못할 한학기,의류환경학과,학부,2017-2,/partner/expReport.asp?id=14681&page=2&bgbn=R,1
7,새로움이 가득했던 교환의 삶,경제학과,학부,2017-2,/partner/expReport.asp?id=14676&page=2&bgbn=R,1
6,강물처럼,Applied Statistics,학부,2017-2,/partner/expReport.asp?id=14565&page=2&bgbn=R,1
5,웰컴투네덜란드,영문과,학부,2016-2017,/partner/expReport.asp?id=14517&page=2&bgbn=R,1
4,이름만큼 자유로웠던 네덜란드 자유대학교에서의 교환 생활,지구시스템과학과,학부,2017-2,/partner/expReport.asp?id=14503&page=2&bgbn=R,1
3,꿈만같았던 암스에서의 한학기,국제대학교 문화디자인경영,학부,2017,/partner/expReport.asp?id=14347&page=2&bgbn=R,1
2,꿈만 같았던 암스테르담에서의 한학기 :),의공학부,학부,2017-1,/partner/expReport.asp?id=14155&page=3&bgbn=R,1
1,또다른 세상을 원한다면 네덜란드로!,인문학부,학부,2001-2002,/partner/expReport.asp?id=967&page=3&bgbn=R,1
