No,제목,학과,과정,년도,href,BERT_SCORE
13,비너노이슈타트에서의 교환학생 생활,경영학과,학부,2016,/partner/expReport.asp?id=15044&page=1&bgbn=R,0
12,비너노이슈타트에서의 가을 학기!,경영학과,학부,2016,/partner/expReport.asp?id=14499&page=1&bgbn=R,1
11,즐거운 추억을 선사한 한 학기,경제,학부,2016,/partner/expReport.asp?id=13252&page=1&bgbn=R,1
10,비너노이슈타트의 교환경험,경제,학부,2015-2016,/partner/expReport.asp?id=12760&page=1&bgbn=R,1
9,즐거운 교환학생 경험,경제학과,학부,2015,/partner/expReport.asp?id=12222&page=1&bgbn=R,0
8,비너노이슈타트에서의 한학기,경영,학부,2014,/partner/expReport.asp?id=12216&page=1&bgbn=R,1
7,You will never get better experience anywhere else than WienerNeustadt!,경영학과,학부,2014,/partner/expReport.asp?id=12144&page=1&bgbn=R,1
6,모든 장점을 가지고 있는 비너노이슈타트!,경제학과,학부,2013,/partner/expReport.asp?id=7026&page=1&bgbn=R,1
5,"FHWN, Meine Liebe!",경영학과,학부,2013,/partner/expReport.asp?id=7015&page=1&bgbn=R,1
4,잊을 수 없는 1년의 기억 Wiener Neustadt,경영학과,학부,2012,/partner/expReport.asp?id=6298&page=1&bgbn=R,1
3,비너노이슈타트에서 새로운 경험을!,경영학과,학부,2011,/partner/expReport.asp?id=5014&page=2&bgbn=R,1
2,FHWN에서의 한학기!!,행정학과,학부,2011,/partner/expReport.asp?id=5010&page=2&bgbn=R,1
1,내 제 2의 고향,컴퓨터과학과,학부,2010,/partner/expReport.asp?id=4441&page=2&bgbn=R,0
