No,제목,학과,과정,년도,href,BERT_SCORE
11,INSA Lyon에서의 1년,생명공학과,학부,2018-2019,/partner/expReport.asp?id=15785&page=1&bgbn=R,0
10,프랑스에서의 한 학기,도시토목공학과,학부,2019,/partner/expReport.asp?id=15769&page=1&bgbn=R,1
9,Tomber amoureux avec Lyon,신소재공학과,학부,2017,/partner/expReport.asp?id=14722&page=1&bgbn=R,1
8,INSA de Lyon_김태리,화학과,학부,2013,/partner/expReport.asp?id=6529&page=1&bgbn=R,1
7,꿈만 같았던 프랑스에서의 1년,검축공학과,학부,2011-2012,/partner/expReport.asp?id=5960&page=1&bgbn=R,0
6,"평생 간직할 소중한 기억, INSA de Lyon",전기전자공학부,학부,2009-2010,/partner/expReport.asp?id=4367&page=1&bgbn=R,1
5,스물 한살의 빛나는 추억을 만들어 준 INSA de Lyon,화학과,학부,2008-2009,/partner/expReport.asp?id=3763&page=1&bgbn=R,1
4,INSA-Lyon,전기전자공학과,학부,2005,/partner/expReport.asp?id=1972&page=1&bgbn=R,0
3,돌아가고픈 INSA de Lyon,문헌정보학전공,학부,2003,/partner/expReport.asp?id=1191&page=1&bgbn=R,0
2,살기좋은 Lyon 으루 오세여~!아니 가세여~!,건축공학전공,학부,2002,/partner/expReport.asp?id=742&page=1&bgbn=R,1
1,INSA de Lyon - 정민수,화학전공,학부,2002,/partner/expReport.asp?id=650&page=2&bgbn=R,0
