,No,제목,학과,과정,년도,href,RNN_SCORE
0,264,석양이 아름다웠던 샌디에고에서의 6개월,창의기술경영학과,학부,2019-2020,/partner/expReport.asp?id=16684&page=1&bgbn=R,0.8113129138946533
1,263,샌디에고에서 보낸 잊지 못할 6개월,언론홍보영상학부,학부,2020,/partner/expReport.asp?id=16671&page=1&bgbn=R,0.8225181102752686
2,262,다시 돌아가겠다는 마음을 먹게한 샌디,계량위험관리(QRM),학부,2020,/partner/expReport.asp?id=16657&page=1&bgbn=R,0.9269094467163086
3,261,"할미의 샌디에고 요양기,,,,",창의기술경영학과,학부,2019,/partner/expReport.asp?id=16653&page=1&bgbn=R,0.5563397407531738
4,260,UCSD 교환학생,건설환경공학과,학부,2020,/partner/expReport.asp?id=16584&page=1&bgbn=R,0.5230967998504639
5,259,"""UCSD 가지마"" ""그게 뭔데"" ""UCSD 가지 말라고"" ""그거 어떻게 하는건데""",언더우드국제대학 바이오융합과,학부,2019-2020,/partner/expReport.asp?id=16556&page=1&bgbn=R,0.09834733605384827
6,258,다시 돌아가고 싶은 UCSD,SDC,학부,2019-2020,/partner/expReport.asp?id=16512&page=1&bgbn=R,0.9130617380142212
7,257,샌디에고에서의 잊지 못할 7개월,기계공학과,학부,2019-2020,/partner/expReport.asp?id=16428&page=1&bgbn=R,0.8807414174079895
8,256,잊지 못할 라호이야 2019: the Days in the Sun,경제학과,학부,2019,/partner/expReport.asp?id=16373&page=1&bgbn=R,0.6726133227348328
9,255,다시 돌아가고 싶은 샌디에고에서의 1년,심리학과,학부,2019,/partner/expReport.asp?id=16173&page=1&bgbn=R,0.9210239052772522
10,254,샌디에고에서의 1년,심리학과,학부,2019,/partner/expReport.asp?id=16165&page=2&bgbn=R,0.731432318687439
11,253,샌디에고에서의 1년,CDM,학부,2019,/partner/expReport.asp?id=16089&page=2&bgbn=R,0.731432318687439
12,252,샌디에고에서 지낸 6개월,경제학과,학부,2019,/partner/expReport.asp?id=16023&page=2&bgbn=R,0.6389287710189819
13,251,Report on ESP at UCSD for 1 year,UIC,학부,2018-2019,/partner/expReport.asp?id=15967&page=2&bgbn=R,0.5188660621643066
14,250,샌디에고에서의 한학기,언더우드학부 경제학과,학부,2019,/partner/expReport.asp?id=15948&page=2&bgbn=R,0.731432318687439
15,249,honest report after 1 year of UCSD EAP life,창의기술경영학과 (CTM),학부,2018-2019,/partner/expReport.asp?id=15935&page=2&bgbn=R,0.5212031602859497
