,No,제목,학과,과정,년도,href,RNN_SCORE
0,12,Go Canes!,경영학과,학부,2018,/partner/expReport.asp?id=15254&page=1&bgbn=R,0.515648603439331
1,11,It's all about the U 마미애미에서의 잊지 못 할 교환생활,UIC CTM,학부,2018,/partner/expReport.asp?id=14745&page=1&bgbn=R,0.7617387771606445
2,10,아름다운 해안이 있는 Miami로~,영어영문학과,학부,2013,/partner/expReport.asp?id=6384&page=1&bgbn=R,0.5766181945800781
3,9,UM에서의 한 학기,경영학과,학부,2013,/partner/expReport.asp?id=6335&page=1&bgbn=R,0.731432318687439
4,8,마이애미에서의 아름다운 추억,경제학과,학부,2012,/partner/expReport.asp?id=6229&page=1&bgbn=R,0.9684431552886963
5,7,색다른 경험을 하고 싶다면 University of Miami로,노어노문학과,학부,2012,/partner/expReport.asp?id=5617&page=1&bgbn=R,0.8546780347824097
6,6,University of Miami,영어영문학과,학부,2011,/partner/expReport.asp?id=4931&page=1&bgbn=R,0.515648603439331
7,5,"최고의 교환학생 생활을 할 수 있는 대학교, 그리고 아름다운 도시 마이애미",영어영문학과,학부,2010,/partner/expReport.asp?id=4804&page=1&bgbn=R,0.9662244319915771
8,4,교환학생 경험보고서,경제학과,학부,2010,/partner/expReport.asp?id=4718&page=1&bgbn=R,0.6901764869689941
9,3,따뜻한 햇살을 즐기며,중어중문학과,학부,2010,/partner/expReport.asp?id=4717&page=1&bgbn=R,0.9600430727005005
10,2,"조금 특별한 미국을 경험하고 싶다면,",심리학과,학부,2009-2010,/partner/expReport.asp?id=4316&page=2&bgbn=R,0.8054274320602417
11,1,Sunshine State에서 보낸 소중한 한학기,천문우주학과,학부,2009,/partner/expReport.asp?id=3962&page=2&bgbn=R,0.6852181553840637
