,No,제목,학과,과정,년도,href,RNN_SCORE
0,67,너무 소중하고 값진 추억이 된 UMD에서의 교환생활,영어영문/심리,학부,2020,/partner/expReport.asp?id=16481&page=1&bgbn=R,0.8577737808227539
1,66,대학 생활 중 최고의 선택,생명공학과,학부,2019-2020,/partner/expReport.asp?id=16470&page=1&bgbn=R,0.9220728874206543
2,65,행복했지만 슬펐던 70일,심리학과,학부,2020,/partner/expReport.asp?id=16458&page=1&bgbn=R,0.9598299264907837
3,64,앞으로 살아갈 큰 원동력이 된 UMD 교환생활,영어영문학과,학부,2019,/partner/expReport.asp?id=16308&page=1&bgbn=R,0.8908814191818237
4,63,너무나 행복했던 UMD 생활,UIC QRM,학부,2019,/partner/expReport.asp?id=16231&page=1&bgbn=R,0.9568482041358948
5,62,UMD에서 행복했던 시간,화공생명공학과,학부,2019,/partner/expReport.asp?id=16140&page=1&bgbn=R,0.7332139611244202
6,61,2019-2 UMD,UD 경제학과,학부,2019,/partner/expReport.asp?id=16129&page=1&bgbn=R,0.5230967998504639
7,60,꿈 같았던 UMD 교환생활,영어영문학과,학부,2019,/partner/expReport.asp?id=16123&page=1&bgbn=R,0.7991269826889038
8,59,많은 것을 배운 UMD에서의 한 학기,영어영문학과,학부,2019,/partner/expReport.asp?id=16096&page=1&bgbn=R,0.7906041145324707
9,58,UMD에서의 한 학기,바이오융합,학부,2019,/partner/expReport.asp?id=15958&page=1&bgbn=R,0.731432318687439
10,57,한적한 여유를 즐길 수 있었던 UMD,UD 경제학과,학부,2019,/partner/expReport.asp?id=15611&page=2&bgbn=R,0.7778529524803162
11,56,UMD 경험보고서,중어중문학과,학부,2019,/partner/expReport.asp?id=15587&page=2&bgbn=R,0.6901764869689941
12,55,한적한 메대에서의 한학기,행정학과,학부,2019,/partner/expReport.asp?id=15562&page=2&bgbn=R,0.8041602969169617
13,54,나에게 휴식같았던 메릴랜드에서의 일년,교육학과,학부,2018,/partner/expReport.asp?id=15502&page=2&bgbn=R,0.8334709405899048
14,53,더 큰 세상을 경험했던 메릴랜드에서의 한 해,도시공학과,학부,2018,/partner/expReport.asp?id=15454&page=2&bgbn=R,0.7931435704231262
