,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,41,펜실베니아 대학교 교환 후기 (+코로나라는 위기 속 유펜이 준 신뢰),국제대학 경제학과,학부,2020,/partner/expReport.asp?id=16518&page=1&bgbn=R,1,0.5641858577728271
1,40,유펜에서의 교환생활,UIC,학부,2019,/partner/expReport.asp?id=16204&page=1&bgbn=R,1,0.6073731184005737
2,39,펜에서의 한 학기,의예과,학부,2019,/partner/expReport.asp?id=15655&page=1&bgbn=R,0,0.5949457883834839
3,38,유펜에서의 1년,UIC ECON,학부,2018-2019,/partner/expReport.asp?id=15545&page=1&bgbn=R,0,0.645369291305542
4,37,유펜에서의 한학기,불어불문학과 / 경영학과,학부,2018,/partner/expReport.asp?id=15241&page=1&bgbn=R,1,0.645369291305542
5,36,University of Pennsylvania,언더우드학부 정치외교학과,학부,2018-12,/partner/expReport.asp?id=15155&page=1&bgbn=R,1,0.4831991493701935
6,35,My year at the University of Pennsylvania,경영학과,학부,2017-2018,/partner/expReport.asp?id=14989&page=1&bgbn=R,1,0.5253964066505432
7,34,University of Pennsylvania 파견보고서,국제학과,학부,2017-2018,/partner/expReport.asp?id=14863&page=1&bgbn=R,1,0.5823991894721985
8,33,University of Pennsylvania 2017 fall semester,의학과,학부,2017,/partner/expReport.asp?id=14679&page=1&bgbn=R,1,0.5123643279075623
9,32,University of Pennsylvania,정치외교학과,학부,2017,/partner/expReport.asp?id=14591&page=1&bgbn=R,1,0.4831991493701935
10,31,University of Pennsylvania 2017-봄학기,경영학과,학부,2017,/partner/expReport.asp?id=14233&page=2&bgbn=R,1,0.5346050262451172
11,30,University of Pennsylvania 에서의 교환생활,국제학과,학부,2017,/partner/expReport.asp?id=13883&page=2&bgbn=R,0,0.6294935345649719
12,29,University of Pennsylvania 파견보고서,노어노문학과,학부,2015,/partner/expReport.asp?id=13813&page=2&bgbn=R,1,0.5823991894721985
13,28,Memories at University of Pennsylvania,행정학과,학부,2016,/partner/expReport.asp?id=13717&page=2&bgbn=R,0,0.5001710653305054
14,27,University of Pennsylvania 교환학생 경험보고서,경영학과,학부,2016,/partner/expReport.asp?id=13587&page=2&bgbn=R,0,0.6134040355682373
15,26,UPenn 파견 보고서,UIC Economics,학부,2015-2016,/partner/expReport.asp?id=12994&page=2&bgbn=R,1,0.5819611549377441
16,25,2015 유펜 파견 보고서,심리학과,학부,2015,/partner/expReport.asp?id=12698&page=2&bgbn=R,0,0.5776456594467163
17,24,파견보고서,의예과,학부,2015,/partner/expReport.asp?id=12538&page=2&bgbn=R,1,0.6132471561431885
18,23,My Penn Experience,UIC economics,학부,2015,/partner/expReport.asp?id=12420&page=2&bgbn=R,1,0.4831991493701935
19,22,유펜경험보고서,의예과,학부,2015,/partner/expReport.asp?id=12149&page=2&bgbn=R,1,0.6353806853294373
20,21,UPenn 경험보고서,의예과,학부,2015,/partner/expReport.asp?id=11982&page=3&bgbn=R,0,0.6353806853294373
21,20,Upenn 경험보고서,경영학과,학부,2014,/partner/expReport.asp?id=10707&page=3&bgbn=R,0,0.6353806853294373
22,19,University of Pennsylvania교환학생,경영학과,학부,2012-2013,/partner/expReport.asp?id=7337&page=3&bgbn=R,0,0.4899306297302246
23,18,2010년가을 교환학생 파견 경험보고서,경영학과,학부,2010,/partner/expReport.asp?id=7003&page=3&bgbn=R,0,0.7545107007026672
24,17,UPENN 경헙보고서,경영학과,학부,2013,/partner/expReport.asp?id=6793&page=3&bgbn=R,1,0.6962695717811584
25,16,UPenn 경험 보고서,경영학과,학부,2011-2012,/partner/expReport.asp?id=5608&page=3&bgbn=R,0,0.6353806853294373
26,15,Upenn,Underwood International College Comparative Literature and Culture,학부,2010,/partner/expReport.asp?id=5457&page=3&bgbn=R,0,0.47254469990730286
27,14,UPenn 파견 보고서,언더우드 국제학부,학부,2010,/partner/expReport.asp?id=4319&page=3&bgbn=R,1,0.5819611549377441
28,13,UPenn 경험보고서,UIC,학부,2009,/partner/expReport.asp?id=4229&page=3&bgbn=R,0,0.6353806853294373
29,12,Penn경험보고서,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3928&page=3&bgbn=R,0,0.6353806853294373
30,11,UPenn 파견 보고서,정치외교학과,학부,2008,/partner/expReport.asp?id=3821&page=4&bgbn=R,1,0.5819611549377441
