,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,11,제 2의 고향이 되어버린 브라운슈바이크,기계공학과,학부,2019,/partner/expReport.asp?id=16467&page=1&bgbn=R,0,0.362426221370697
1,10,브라운슈바이크에서의 1년,독어독문학과,학부,2015,/partner/expReport.asp?id=13204&page=1&bgbn=R,0,0.645369291305542
2,9,평온했던 브라운슈바이크에서의 한 학기,독어독문,학부,2015,/partner/expReport.asp?id=12335&page=1&bgbn=R,1,0.8039774298667908
3,8,조용한 대학도시 브슈,정치외교학과,학부,2013,/partner/expReport.asp?id=12300&page=1&bgbn=R,0,0.6653017401695251
4,7,평화롭고 아름다운 대학도시,신문방송학과,학부,2014-2015,/partner/expReport.asp?id=11868&page=1&bgbn=R,1,0.9442599415779114
5,6,즐거웠던 독일생활,독어독문학과,학부,2013,/partner/expReport.asp?id=7115&page=1&bgbn=R,0,0.9226241707801819
6,5,평화로운 대학도시,독어독문학과,학부,2012,/partner/expReport.asp?id=6734&page=1&bgbn=R,1,0.7200877666473389
7,4,독일 중북부의 대학도시,건축공학과,학부,2012,/partner/expReport.asp?id=6721&page=1&bgbn=R,0,0.7887787818908691
8,3,작고 평화로운 마을,신문방송학과,학부,2012-2013,/partner/expReport.asp?id=6308&page=1&bgbn=R,1,0.3650067150592804
9,2,조용한 대학도시 브라운슈바이크~,경영학과,학부,2012-2013,/partner/expReport.asp?id=6258&page=1&bgbn=R,1,0.6593790650367737
10,1,여행하기 좋은 독일,신소재공학과,학부,2012,/partner/expReport.asp?id=5941&page=2&bgbn=R,1,0.8351620435714722
