,No,제목,학과,과정,년도,href,RNN_SCORE
0,21,디킨슨에서 보낸 한 학기,사회학과,학부,2017,/partner/expReport.asp?id=15874&page=1&bgbn=R,0.5980356335639954
1,20,나 자신에 대해 많은 것을 알게 된 시간,신학과,학부,2018,/partner/expReport.asp?id=14783&page=1&bgbn=R,0.7561984062194824
2,19,잊지 못 할 교환학생 생활,"간호학과, 정치외교학과",학부,2017,/partner/expReport.asp?id=14100&page=1&bgbn=R,0.8467350006103516
3,18,작은 학교라서 더 좋았던 디킨슨,경제학부,학부,2016,/partner/expReport.asp?id=13106&page=1&bgbn=R,0.7830548286437988
4,17,Dickinson College 교환학생 경험보고서,철학과,학부,2015,/partner/expReport.asp?id=12522&page=1&bgbn=R,0.6584348678588867
5,16,디킨슨에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=11901&page=1&bgbn=R,0.731432318687439
6,15,Dickinson College에서의 한 학기,"사회학, 경영학",학부,2014,/partner/expReport.asp?id=10740&page=1&bgbn=R,0.7022072076797485
7,14,Dickinson college 에서의 한학기,지구시스템과학과,학부,2014,/partner/expReport.asp?id=7308&page=1&bgbn=R,0.7022072076797485
8,13,Dickinson에서의 한학기를 마치고,경영학과/심리학과 복전,학부,2013,/partner/expReport.asp?id=6373&page=1&bgbn=R,0.7220609784126282
9,12,잊을 수 없는 인생의 전환점 in Dickinson College,영어영문학과,학부,2012,/partner/expReport.asp?id=6008&page=1&bgbn=R,0.8769842386245728
10,11,디킨슨에서의 한 학기!,경영학과,학부,2010,/partner/expReport.asp?id=5458&page=2&bgbn=R,0.7415863871574402
11,10,Be the Dickinsonian!,정치외교학과,학부,2011,/partner/expReport.asp?id=5335&page=2&bgbn=R,0.5123575925827026
12,9,Dickinson College에서의 한 학기,경제학과,학부,2010,/partner/expReport.asp?id=4462&page=2&bgbn=R,0.7022072076797485
13,8,Dickinson College에서의 1년.,경영학과,학부,2005-2006,/partner/expReport.asp?id=2033&page=2&bgbn=R,0.7129020690917969
14,7,Dickinson College,정치외교학과,학부,2003,/partner/expReport.asp?id=1350&page=2&bgbn=R,0.5230967998504639
15,6,작지만 알찬 dickinson,경영학전공,학부,2003,/partner/expReport.asp?id=934&page=2&bgbn=R,0.8434488773345947
16,5,경험 보고서,유럽어문학부,학부,2002,/partner/expReport.asp?id=723&page=2&bgbn=R,0.7555708289146423
17,4,Dickinson College - 명준희,노어노문학전공,학부,2002,/partner/expReport.asp?id=558&page=2&bgbn=R,0.5140978693962097
18,3,Dickinson College - 신나윤,생활과학부,학부,2001,/partner/expReport.asp?id=426&page=2&bgbn=R,0.5878448486328125
19,2,Dickinson College - 이지원,영어영문학전공,학부,2001,/partner/expReport.asp?id=425&page=2&bgbn=R,0.5123575925827026
20,1,Dickinson College-이상헌,인문학부,학부,1999-2000,/partner/expReport.asp?id=177&page=3&bgbn=R,0.5123575925827026
