,No,제목,학과,과정,년도,href,RNN_SCORE
0,17,UTK에서의 1년,화공생명공학과,학부,2015-2016,/partner/expReport.asp?id=13052&page=1&bgbn=R,0.731432318687439
1,16,잊지 못할 UTK에서의 한 학기,상경대학 경제학과,학부,2012,/partner/expReport.asp?id=5639&page=1&bgbn=R,0.8847562074661255
2,15,평화롭고 따스했던 녹스빌에서의 일년,아동가족,학부,2010,/partner/expReport.asp?id=4688&page=1&bgbn=R,0.9119782447814941
3,14,Big orange에서의 잊지못할 1년,경영학과,학부,2009,/partner/expReport.asp?id=3931&page=1&bgbn=R,0.924443244934082
4,13,잊을 수 없는 한학기 UTK,화학공학과,학부,2009,/partner/expReport.asp?id=3646&page=1&bgbn=R,0.8319572806358337
5,12,Time of My Life,사회학과,학부,2008,/partner/expReport.asp?id=3397&page=1&bgbn=R,0.5123575925827026
6,11,UTK에서 보낸 한학기,경영학과,학부,2007,/partner/expReport.asp?id=2869&page=1&bgbn=R,0.5980356335639954
7,10,It's great to be a Tennessee VOL!,식품영양학과,학부,2006-2007,/partner/expReport.asp?id=2816&page=1&bgbn=R,0.523225724697113
8,9,"Univ. of Tennessee, Knoxville",의공학부,학부,2005,/partner/expReport.asp?id=1819&page=1&bgbn=R,0.5139521360397339
9,8,"Go,Big Orange~!",중어중문학전공,학부,2003,/partner/expReport.asp?id=1059&page=1&bgbn=R,0.5122702717781067
10,7,UT에서의 일년,사회과학대학,학부,2002-2003,/partner/expReport.asp?id=836&page=2&bgbn=R,0.727751612663269
11,6,"Univ. Of Tennessee, knoxville - 함현정",세라믹공학전공,학부,2002,/partner/expReport.asp?id=720&page=2&bgbn=R,0.6702247262001038
12,5,U of Tennessee Knoxville - 고세은,경영학전공,학부,2000-2001,/partner/expReport.asp?id=495&page=2&bgbn=R,0.6440536975860596
13,4,"U of Tennessee, Knoxvile-김준호",경제학전공,학부,2000,/partner/expReport.asp?id=247&page=2&bgbn=R,0.4043547511100769
14,3,"U of Tennessee, Knoxville-기선아",인문학부,학부,1999,/partner/expReport.asp?id=71&page=2&bgbn=R,0.41724780201911926
15,2,"U of Tennessee, Knoxville-홍영준",전기전자공학전공,학부,1998,/partner/expReport.asp?id=57&page=2&bgbn=R,0.4326958656311035
16,1,"U of Tennessee, Knoxville-최현영",사회복지학과,학부,1999,/partner/expReport.asp?id=51&page=2&bgbn=R,0.5163494348526001
