,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,44,감동적이었던 비엔나에서의 1년,경제학과,학부,2019-2020,/partner/expReport.asp?id=16588&page=1&bgbn=R,1,0.9106751680374146
1,43,추억이 가득한 빈에서의 한 학기,경제학과,학부,2019,/partner/expReport.asp?id=16310&page=1&bgbn=R,0,0.8241270780563354
2,42,비엔나에서의 한 학기,교육학과,학부,2019,/partner/expReport.asp?id=16259&page=1&bgbn=R,1,0.731432318687439
3,41,여유로웠던 빈에서의 한 학기,의예과,학부,2019,/partner/expReport.asp?id=16253&page=1&bgbn=R,1,0.7701075077056885
4,40,잊지 못할 비엔나 라이프,언더우드국제대학 문화디자인경영,학부,2019,/partner/expReport.asp?id=16007&page=1&bgbn=R,0,0.8588605523109436
5,39,비엔나기에 가능했던 제 인생의 황금기,경영학과,학부,2019,/partner/expReport.asp?id=15819&page=1&bgbn=R,0,0.48431825637817383
6,38,"비엔나에서의 여름,가을,겨울",언더우드국제대학 경제,학부,2018,/partner/expReport.asp?id=15334&page=1&bgbn=R,1,0.8800580501556396
7,37,살기 좋은 비엔나에서의 한 학기,경제학부,학부,2018,/partner/expReport.asp?id=15233&page=1&bgbn=R,1,0.8282938003540039
8,36,"아름답고 살기 좋은 도시, 비엔나",경영학과,학부,2018,/partner/expReport.asp?id=15224&page=1&bgbn=R,1,0.8641076683998108
9,35,살기좋은 예술의 도시 비엔나에서의 1년,경영학과,학부,2017-2018,/partner/expReport.asp?id=14966&page=1&bgbn=R,1,0.8402790427207947
10,34,유럽에서의 소중한 한 학기,언더우드학부 경제학,학부,2018,/partner/expReport.asp?id=14964&page=2&bgbn=R,1,0.8025441765785217
11,33,"오스트리아, 최고의 선택",경제학과,학부,2018,/partner/expReport.asp?id=14893&page=2&bgbn=R,1,0.6970486044883728
12,32,살기 좋은 도시 비엔나에서의 한 학기.,경제학과,학부,2018,/partner/expReport.asp?id=14889&page=2&bgbn=R,1,0.8059866428375244
13,31,평화로운 비엔나와 WU,사회복지학과,학부,2018,/partner/expReport.asp?id=14874&page=2&bgbn=R,1,0.7660071849822998
14,30,모든 것이 50년 후에 일어나는 비엔나에서.,언더우드학부,학부,2017,/partner/expReport.asp?id=14515&page=2&bgbn=R,1,0.7190800905227661
15,29,"대학생활의 꽃, 잊을 수 없는 비엔나에서의 한 학기 교환생활",경영학과,학부,2016-1,/partner/expReport.asp?id=13026&page=2&bgbn=R,1,0.8109292984008789
16,28,떠나기 아쉬웠던 WU에서의 한 학기,중어중문학과,학부,2014,/partner/expReport.asp?id=7457&page=2&bgbn=R,1,0.8437259793281555
17,27,WU로 꼭 갔으면 좋겠어요. (1년 다녀옴),생활과학대학 식품영양학과,학부,2013-2014,/partner/expReport.asp?id=7339&page=2&bgbn=R,1,0.897445023059845
18,26,꼭 다시 들르고 싶은 오스트리아,사회학과/경제학과,학부,2013,/partner/expReport.asp?id=6525&page=2&bgbn=R,1,0.8151214122772217
19,25,평생 있지못할 추억을 안겨준 비엔나에서의 한학기,식품영양/경영학과,학부,2013,/partner/expReport.asp?id=6512&page=2&bgbn=R,1,0.9197134971618652
20,24,WU 교환 보고서,경제학과,학부,2013,/partner/expReport.asp?id=6488&page=3&bgbn=R,0,0.664448618888855
21,23,"중부유럽의 꽃, 비엔나에서의 한학기",경영학과,학부,2012,/partner/expReport.asp?id=6328&page=3&bgbn=R,1,0.7781475782394409
22,22,푸른 도나우 강가에서의 삶,경제학과,학부,2012,/partner/expReport.asp?id=6253&page=3&bgbn=R,0,0.893962025642395
23,21,아름다운 도시 비엔나에서의 1년간의 생활,경제학과,학부,2011-2012,/partner/expReport.asp?id=6117&page=3&bgbn=R,1,0.8421976566314697
24,20,"가장 멋스러운 도시, 비엔나",경영학과,학부,2011,/partner/expReport.asp?id=6041&page=3&bgbn=R,1,0.8837747573852539
25,19,살기 좋은 도시 1위 비엔나에서의 한 학기,경제학과,학부,2012,/partner/expReport.asp?id=5934&page=3&bgbn=R,1,0.8104018568992615
26,18,사랑스러운 비엔나에서의 1년!,경제학과,학부,2011,/partner/expReport.asp?id=5492&page=3&bgbn=R,1,0.9195396304130554
27,17,빈에서의 한 학기!,경영학과,학부,2010,/partner/expReport.asp?id=5122&page=3&bgbn=R,1,0.5941059589385986
28,16,문화가 충만한 빈에서의 생활,법학과,학부,2011,/partner/expReport.asp?id=5082&page=3&bgbn=R,1,0.6329745650291443
29,15,낭만의 도시 비엔나에서의 잊지못할 1년,경제학과,학부,2010,/partner/expReport.asp?id=4737&page=3&bgbn=R,1,0.9666715264320374
30,14,오스트리아에서의 교환학생,경재학과,학부,2010,/partner/expReport.asp?id=4672&page=4&bgbn=R,0,0.638147234916687
31,13,다시 한번 가고 싶은 교환학생!,경영학과,학부,2008,/partner/expReport.asp?id=4555&page=4&bgbn=R,0,0.9319218397140503
32,12,최고의 교환프로그램+유럽여행 in Austria,국제대학 경제학,학부,2009,/partner/expReport.asp?id=4165&page=4&bgbn=R,0,0.8556228876113892
33,11,유럽의 교차로 오스트리아 빈에서의 로맨틱 한 학기,경제학과,학부,2009-2010,/partner/expReport.asp?id=4030&page=4&bgbn=R,1,0.46900033950805664
34,10,최고 위치의 학교에서의 한 학기,경영학과,학부,2008,/partner/expReport.asp?id=3445&page=4&bgbn=R,1,0.92665696144104
35,9,아름다운 빈에서의 잊지 못할 가을학기!,경영학과,학부,2007,/partner/expReport.asp?id=3291&page=4&bgbn=R,1,0.9319864511489868
36,8,비엔나에서의 한 학기,경제학과,학부,2008,/partner/expReport.asp?id=3137&page=4&bgbn=R,1,0.731432318687439
37,7,비엔나에서의 한 학기,경영학과,학부,2007,/partner/expReport.asp?id=2987&page=4&bgbn=R,1,0.731432318687439
