,No,제목,학과,과정,년도,href,RNN_SCORE
0,393,버클리에서의 생활,사회학과,학부,2020,/partner/expReport.asp?id=16688&page=1&bgbn=R,0.5712617635726929
1,392,"나를 찾아 떠난, 이제는 삶의 원동력이 된 8개월 간의 미국에서의 삶",언론홍보영상학부,학부,2019-2020,/partner/expReport.asp?id=16674&page=1&bgbn=R,0.9862960577011108
2,391,버클리 경험 보고서,사학과,학부,2020,/partner/expReport.asp?id=16668&page=1&bgbn=R,0.31429311633110046
3,390,교환학생 보고서(UC Berkeley),경제학과,학부,2020-1,/partner/expReport.asp?id=16659&page=1&bgbn=R,0.6822025179862976
4,389,평생 못 잊을 버클리와 코로나,언론홍보영상학부,학부,2020,/partner/expReport.asp?id=16651&page=1&bgbn=R,0.6789185404777527
5,388,버클리에서의 소중한 추억,경제학부,학부,2020-1,/partner/expReport.asp?id=16647&page=1&bgbn=R,0.8724352121353149
6,387,버클리에서의 교환생활,UIC ECON,학부,2020-1,/partner/expReport.asp?id=16636&page=1&bgbn=R,0.5621640086174011
7,386,한학기 교환생활 @Berkeley,UIC 창의기술경영,학부,2020-1,/partner/expReport.asp?id=16623&page=1&bgbn=R,0.5050399899482727
8,385,버클리 교환생활,응용통계학과,학부,2019-2020,/partner/expReport.asp?id=16558&page=1&bgbn=R,0.22589075565338135
9,384,버클리에서의 기억,문화인류학과,학부,2019-2020,/partner/expReport.asp?id=16541&page=1&bgbn=R,0.7036217451095581
10,383,버클리에서의 교환학생 생활,기계공학부,학부,2020,/partner/expReport.asp?id=16536&page=2&bgbn=R,0.5811135172843933
11,382,About UCB,화공생명공학과,학부,2018,/partner/expReport.asp?id=16487&page=2&bgbn=R,0.5230967998504639
12,381,버클리 생활 안내서,교육학과,학부,2020-1,/partner/expReport.asp?id=16431&page=2&bgbn=R,0.19796252250671387
13,380,Go Bears,UIC ECON,학부,2019,/partner/expReport.asp?id=16419&page=2&bgbn=R,0.5230967998504639
14,379,버클리에서의 한학기,언더우드 경제학과,학부,2019-2,/partner/expReport.asp?id=16291&page=2&bgbn=R,0.5977693796157837
15,378,버클리,경제학과,학부,2019,/partner/expReport.asp?id=16279&page=2&bgbn=R,0.28976044058799744
16,377,버클리에서 한학기,지구시스템과학과,학부,2019,/partner/expReport.asp?id=16264&page=2&bgbn=R,0.19363874197006226
